id,album_title,releaseYear,genreIDs
album_72,Ameliorated asymmetric middleware Album 72,1999,['genre_7']
album_73,Enterprise-wide upward-trending open architecture Album 73,2014,['genre_14']
album_74,Programmable scalable product Album 74,1997,['genre_7']
album_75,Reverse-engineered optimizing moderator Album 75,1986,"['genre_9', 'genre_7']"
album_76,Sharable mission-critical analyzer Album 76,1992,"['genre_5', 'genre_0']"
album_77,Quality-focused client-driven conglomeration Album 77,2004,"['genre_9', 'genre_4']"
album_78,Ameliorated maximized database Album 78,1981,['genre_1']
album_79,Triple-buffered grid-enabled contingency Album 79,1980,['genre_11']
album_80,Multi-tiered human-resource hardware Album 80,2002,['genre_9']
album_81,Cloned well-modulated ability Album 81,2021,['genre_11']
album_82,Versatile context-sensitive analyzer Album 82,2020,['genre_6']
album_83,Reverse-engineered asymmetric Local Area Network Album 83,1989,['genre_9']
album_84,Cross-group mission-critical algorithm Album 84,1992,['genre_12']
album_85,Enhanced cohesive framework Album 85,2021,['genre_12']
album_86,Customer-focused content-based focus group Album 86,1981,"['genre_2', 'genre_1']"
album_87,Virtual full-range hierarchy Album 87,2013,['genre_11']
album_88,Optional bi-directional model Album 88,2021,"['genre_6', 'genre_2']"
album_89,Open-source zero administration standardization Album 89,1987,"['genre_0', 'genre_14']"
album_90,Face-to-face global contingency Album 90,1981,['genre_10']
album_91,Multi-lateral national contingency Album 91,2014,['genre_13']
album_92,Universal system-worthy moratorium Album 92,1984,"['genre_12', 'genre_2']"
album_93,Cross-platform neutral solution Album 93,2000,['genre_4']
album_94,Profound transitional success Album 94,1996,"['genre_3', 'genre_4']"
album_95,Integrated empowering policy Album 95,2009,"['genre_6', 'genre_4']"
album_96,Public-key directional access Album 96,2005,['genre_12']
album_97,Intuitive user-facing forecast Album 97,2000,['genre_6']
album_98,Customer-focused context-sensitive collaboration Album 98,2023,['genre_4']
album_99,Distributed intangible paradigm Album 99,2010,['genre_13']
