id,title,duration,releaseDate,artistIDs,albumID,genreIDs,awardIDs
song_49,Reduced didactic emulation Song 49,144,2024-05-16,"['artist_66', 'artist_7']",album_4,['genre_14'],[]
song_50,Re-engineered scalable challenge Song 50,245,2024-04-13,"['artist_36', 'artist_71']",album_9,['genre_13'],[]
song_51,Versatile human-resource productivity Song 51,294,1998-04-11,['artist_6'],album_51,['genre_11'],[]
song_52,Extended tangible functionalities Song 52,229,2007-03-04,"['artist_83', 'artist_94']",album_43,['genre_10'],[]
song_53,Business-focused discrete interface Song 53,339,1983-03-21,"['artist_30', 'artist_91']",,"['genre_5', 'genre_6']",[]
song_54,Front-line reciprocal function Song 54,274,2023-12-18,['artist_53'],album_59,['genre_3'],[]
song_55,Expanded discrete instruction set Song 55,214,2012-09-14,['artist_21'],album_94,['genre_4'],[]
song_56,Ergonomic object-oriented frame Song 56,120,2019-11-03,['artist_79'],album_36,['genre_5'],[]
song_57,Optimized even-keeled parallelism Song 57,290,1985-07-29,['artist_69'],album_42,['genre_10'],[]
song_58,Multi-lateral composite Local Area Network Song 58,232,1983-04-02,['artist_55'],album_60,['genre_14'],[]
song_59,Implemented impactful website Song 59,346,2008-02-28,"['artist_56', 'artist_45']",,['genre_5'],[]
song_60,Fundamental grid-enabled definition Song 60,194,1995-01-13,"['artist_57', 'artist_26']",album_12,"['genre_0', 'genre_6']",['award_22']
song_61,Synergized 24/7 strategy Song 61,205,1990-08-30,['artist_44'],album_99,['genre_13'],[]
song_62,Advanced next generation success Song 62,345,1986-02-26,"['artist_23', 'artist_78']",album_44,['genre_12'],[]
song_63,Seamless zero tolerance instruction set Song 63,369,2003-06-08,"['artist_46', 'artist_55']",album_81,['genre_11'],[]
song_64,Compatible context-sensitive application Song 64,311,1983-07-03,"['artist_46', 'artist_2']",album_98,['genre_4'],[]
song_65,Integrated static emulation Song 65,263,2025-01-10,['artist_55'],,"['genre_9', 'genre_2']",[]
song_66,Diverse explicit software Song 66,124,1997-11-09,"['artist_41', 'artist_10']",album_44,['genre_12'],[]
song_67,User-friendly exuding hierarchy Song 67,167,2004-04-09,['artist_27'],,['genre_3'],[]
song_68,Cross-platform radical throughput Song 68,241,1994-12-27,"['artist_88', 'artist_21']",album_5,['genre_8'],[]
song_69,Phased global help-desk Song 69,228,1996-08-18,"['artist_96', 'artist_63']",album_64,['genre_9'],[]
song_70,Pre-emptive real-time function Song 70,294,2016-10-02,['artist_83'],album_62,['genre_9'],[]
song_71,Devolved empowering knowledge user Song 71,203,2021-09-01,"['artist_37', 'artist_34']",album_29,['genre_12'],[]
song_72,Cloned zero-defect frame Song 72,325,2015-08-25,['artist_90'],album_66,['genre_4'],[]
song_73,Vision-oriented system-worthy portal Song 73,266,1991-06-12,['artist_17'],album_33,"['genre_6', 'genre_1']",[]
song_74,Cloned human-resource system engine Song 74,182,2004-11-01,"['artist_0', 'artist_47']",album_62,['genre_9'],[]
song_75,Expanded logistical hardware Song 75,211,2006-08-28,['artist_18'],album_96,['genre_12'],[]
song_76,Front-line homogeneous synergy Song 76,159,2010-05-25,['artist_73'],album_68,['genre_13'],[]
song_77,Innovative clear-thinking implementation Song 77,385,2019-10-09,['artist_17'],album_49,"['genre_5', 'genre_7']",[]
song_78,Customizable optimal parallelism Song 78,308,2007-07-07,['artist_77'],album_71,['genre_11'],[]
song_79,Cloned systematic knowledgebase Song 79,395,1995-02-07,"['artist_84', 'artist_81']",,['genre_9'],[]
song_80,Progressive analyzing solution Song 80,179,2021-06-11,"['artist_67', 'artist_63']",album_63,['genre_4'],[]
song_81,Fundamental intermediate matrices Song 81,318,1989-05-08,"['artist_34', 'artist_52']",album_44,['genre_12'],[]
song_82,Progressive local architecture Song 82,303,1990-09-01,"['artist_82', 'artist_5']",album_24,['genre_0'],[]
song_83,Sharable regional parallelism Song 83,189,1991-05-15,['artist_73'],,"['genre_1', 'genre_4']",[]
song_84,Expanded composite access Song 84,270,1990-10-27,['artist_77'],album_93,['genre_4'],[]
song_85,Cross-group foreground leverage Song 85,216,2020-03-13,"['artist_35', 'artist_36']",album_65,"['genre_9', 'genre_1']",[]
song_86,Reduced eco-centric strategy Song 86,317,1992-02-06,['artist_0'],,"['genre_3', 'genre_13']",[]
song_87,Open-source cohesive circuit Song 87,384,1985-01-20,"['artist_67', 'artist_74']",album_27,"['genre_6', 'genre_12']",[]
song_88,Adaptive motivating software Song 88,322,2006-01-16,"['artist_19', 'artist_93']",album_88,"['genre_6', 'genre_2']",[]
song_89,De-engineered stable budgetary management Song 89,397,2008-08-18,"['artist_27', 'artist_7']",album_89,['genre_0'],[]
song_90,Switchable exuding approach Song 90,314,1989-08-08,['artist_39'],,"['genre_7', 'genre_2']",[]
song_91,Synchronized asynchronous paradigm Song 91,272,2014-09-19,['artist_79'],,"['genre_11', 'genre_3']",['award_11']
song_92,Front-line upward-trending encryption Song 92,211,2002-02-09,"['artist_35', 'artist_31']",album_29,['genre_12'],[]
song_93,Profound eco-centric encoding Song 93,219,2007-07-18,['artist_26'],album_66,['genre_4'],[]
song_94,Implemented hybrid leverage Song 94,371,1985-12-04,"['artist_8', 'artist_59']",,['genre_10'],[]
song_95,Configurable leadingedge analyzer Song 95,408,2003-04-06,['artist_60'],album_8,['genre_9'],[]
song_96,User-friendly contextually-based artificial intelligence Song 96,156,1986-05-19,"['artist_49', 'artist_38']",album_99,['genre_13'],[]
song_97,Down-sized bi-directional circuit Song 97,407,1988-01-19,['artist_54'],album_75,"['genre_9', 'genre_7']",[]
song_98,Expanded 6thgeneration intranet Song 98,150,2018-11-08,"['artist_61', 'artist_74']",album_38,"['genre_7', 'genre_13']",[]
song_99,Quality-focused regional support Song 99,297,1987-08-06,['artist_55'],,['genre_13'],[]
song_100,Quality-focused exuding Graphical User Interface Song 100,271,2002-12-18,['artist_76'],,"['genre_12', 'genre_13']",['award_23']
song_101,Cross-group context-sensitive emulation Song 101,173,1998-05-12,['artist_13'],album_96,['genre_12'],[]
song_102,Organic homogeneous hierarchy Song 102,228,1996-09-06,['artist_3'],album_80,['genre_9'],[]
song_103,Configurable homogeneous archive Song 103,162,2017-07-13,['artist_10'],album_98,['genre_4'],[]
song_104,Exclusive regional hardware Song 104,285,2022-01-11,"['artist_93', 'artist_7']",album_70,"['genre_10', 'genre_13']",[]
song_105,Exclusive foreground knowledgebase Song 105,180,1995-03-08,['artist_6'],album_18,['genre_2'],['award_6']
song_106,Robust hybrid forecast Song 106,201,2017-12-20,"['artist_80', 'artist_28']",album_49,"['genre_7', 'genre_5']",['award_22']
song_107,Open-architected disintermediate matrix Song 107,128,2011-01-10,"['artist_4', 'artist_91']",album_70,['genre_13'],[]
song_108,Seamless radical protocol Song 108,188,2011-06-06,['artist_35'],album_77,['genre_9'],[]
song_109,Face-to-face mobile system engine Song 109,321,2007-04-23,"['artist_55', 'artist_81']",album_99,['genre_13'],[]
song_110,Versatile uniform analyzer Song 110,350,2009-06-16,"['artist_76', 'artist_24']",album_85,['genre_12'],[]
song_111,Integrated coherent superstructure Song 111,347,2013-10-02,"['artist_92', 'artist_43']",album_66,['genre_4'],[]
song_112,Down-sized optimal help-desk Song 112,396,1994-05-10,['artist_34'],album_21,['genre_7'],[]
song_113,Self-enabling didactic throughput Song 113,226,2020-09-24,"['artist_41', 'artist_56']",album_5,['genre_8'],['award_25']
song_114,Ameliorated motivating function Song 114,321,2000-11-26,['artist_25'],album_7,['genre_0'],[]
song_115,Advanced tertiary monitoring Song 115,331,2020-10-15,"['artist_57', 'artist_61']",album_89,"['genre_14', 'genre_0']",[]
song_116,Phased mission-critical data-warehouse Song 116,356,1998-12-25,"['artist_84', 'artist_35']",album_24,['genre_0'],[]
song_117,Secured reciprocal ability Song 117,193,2004-09-06,"['artist_71', 'artist_24']",album_58,['genre_9'],[]
song_118,Customer-focused intangible artificial intelligence Song 118,280,2005-04-02,"['artist_70', 'artist_88']",album_8,['genre_9'],[]
song_119,Self-enabling responsive help-desk Song 119,211,1990-01-15,"['artist_90', 'artist_62']",album_44,['genre_12'],[]
song_120,Robust analyzing definition Song 120,228,1982-07-15,"['artist_46', 'artist_92']",album_27,['genre_6'],['award_20']
song_121,User-friendly incremental Graphical User Interface Song 121,236,1983-11-23,"['artist_27', 'artist_61']",album_72,['genre_7'],[]
song_122,Reverse-engineered directional projection Song 122,402,1984-03-05,['artist_85'],album_48,['genre_0'],[]
song_123,Up-sized asymmetric workforce Song 123,148,1985-09-16,"['artist_80', 'artist_4']",album_1,['genre_14'],[]
song_124,Switchable composite throughput Song 124,358,2020-05-17,"['artist_5', 'artist_71']",album_5,['genre_8'],[]
song_125,Synergistic didactic protocol Song 125,357,2018-04-06,['artist_91'],album_35,['genre_8'],[]
song_126,Assimilated exuding middleware Song 126,339,2017-12-09,['artist_49'],album_49,['genre_7'],[]
song_127,User-centric bi-directional access Song 127,324,2021-08-05,"['artist_55', 'artist_89']",,['genre_13'],[]
song_128,Total systemic time-frame Song 128,225,2001-03-22,['artist_50'],,['genre_2'],['award_6']
song_129,Multi-layered 24hour workforce Song 129,127,2001-01-27,['artist_47'],,"['genre_10', 'genre_4']",[]
song_130,Front-line intangible emulation Song 130,158,2018-07-09,"['artist_67', 'artist_38']",album_6,['genre_12'],[]
song_131,Multi-lateral cohesive groupware Song 131,262,1983-06-03,['artist_43'],,"['genre_3', 'genre_6']",[]
song_132,Cross-platform well-modulated hardware Song 132,148,2001-07-29,['artist_46'],album_17,['genre_8'],[]
song_133,Customer-focused 24/7 support Song 133,260,1993-11-13,"['artist_43', 'artist_87']",album_61,['genre_0'],[]
song_134,Optional logistical encoding Song 134,288,1994-02-18,"['artist_50', 'artist_73']",,"['genre_13', 'genre_12']",[]
song_135,Profound contextually-based middleware Song 135,229,1990-09-11,"['artist_78', 'artist_90']",album_79,['genre_11'],[]
song_136,Progressive didactic analyzer Song 136,195,2014-07-11,"['artist_34', 'artist_1']",album_77,"['genre_4', 'genre_9']",[]
song_137,Synergized dedicated parallelism Song 137,419,1997-07-23,['artist_51'],album_89,['genre_14'],[]
song_138,Persevering 5thgeneration migration Song 138,332,2004-08-31,['artist_65'],album_67,['genre_8'],[]
song_139,Switchable disintermediate success Song 139,355,2002-04-30,"['artist_49', 'artist_89']",album_53,"['genre_12', 'genre_10']",[]
song_140,Up-sized multimedia complexity Song 140,415,2019-06-25,"['artist_6', 'artist_79']",,['genre_0'],[]
song_141,Multi-tiered high-level methodology Song 141,253,1996-01-07,['artist_70'],album_90,['genre_10'],[]
song_142,Exclusive leadingedge infrastructure Song 142,228,2017-08-17,"['artist_97', 'artist_1']",,['genre_14'],['award_20']
song_143,Optional hybrid task-force Song 143,125,2014-07-29,"['artist_89', 'artist_35']",album_99,['genre_13'],[]
song_144,Open-architected tangible Local Area Network Song 144,348,2016-05-24,"['artist_70', 'artist_94']",,"['genre_0', 'genre_10']",[]
song_145,Programmable 5thgeneration infrastructure Song 145,274,2004-11-23,['artist_98'],album_33,['genre_6'],[]
song_146,Persevering global knowledgebase Song 146,327,2001-02-02,"['artist_95', 'artist_57']",album_83,['genre_9'],[]
song_147,Diverse fresh-thinking hardware Song 147,333,1987-12-10,"['artist_1', 'artist_0']",,['genre_2'],[]
song_148,Virtual local extranet Song 148,215,2015-01-20,['artist_87'],album_67,['genre_8'],[]
song_149,Proactive value-added data-warehouse Song 149,332,2015-10-12,['artist_93'],album_29,['genre_12'],[]
song_150,Configurable cohesive project Song 150,241,2021-02-25,['artist_89'],album_57,['genre_13'],[]
song_151,Multi-channeled static flexibility Song 151,269,1989-05-30,['artist_40'],album_64,['genre_9'],[]
song_152,Sharable static policy Song 152,290,1983-01-24,"['artist_65', 'artist_61']",album_95,['genre_6'],[]
song_153,Upgradable impactful hierarchy Song 153,298,2015-12-08,"['artist_1', 'artist_35']",album_62,['genre_9'],[]
song_154,Realigned real-time circuit Song 154,201,2011-08-24,['artist_20'],album_41,['genre_13'],[]
song_155,Triple-buffered background parallelism Song 155,296,1997-06-10,['artist_13'],album_11,['genre_6'],[]
song_156,Secured optimizing time-frame Song 156,232,1996-10-28,['artist_92'],,['genre_6'],[]
song_157,Digitized multi-tasking knowledge user Song 157,229,2021-05-21,"['artist_38', 'artist_37']",album_39,"['genre_12', 'genre_11']",[]
song_158,Diverse full-range approach Song 158,350,2024-08-13,"['artist_98', 'artist_32']",album_7,['genre_0'],[]
song_159,Devolved bandwidth-monitored support Song 159,228,2022-10-16,['artist_32'],album_80,['genre_9'],[]
song_160,Versatile intermediate circuit Song 160,317,2021-07-27,"['artist_49', 'artist_7']",,['genre_9'],[]
song_161,Optional intermediate software Song 161,304,2018-12-08,"['artist_67', 'artist_74']",album_26,['genre_7'],[]
song_162,Seamless stable emulation Song 162,231,2003-11-02,"['artist_68', 'artist_62']",,"['genre_2', 'genre_0']",['award_2']
song_163,Profit-focused responsive process improvement Song 163,139,2020-06-05,['artist_25'],album_77,"['genre_9', 'genre_4']",[]
song_164,Total heuristic matrices Song 164,362,1987-12-17,"['artist_95', 'artist_41']",album_40,['genre_3'],[]
song_165,Multi-channeled foreground artificial intelligence Song 165,390,1994-11-04,['artist_32'],album_4,"['genre_14', 'genre_4']",['award_15']
song_166,Enterprise-wide encompassing access Song 166,229,2022-01-09,['artist_92'],,"['genre_3', 'genre_6']",[]
song_167,Proactive heuristic circuit Song 167,189,1986-06-08,"['artist_51', 'artist_42']",album_3,['genre_1'],[]
song_168,Persevering hybrid initiative Song 168,235,1987-09-01,"['artist_32', 'artist_40']",album_66,['genre_4'],[]
song_169,Customizable attitude-oriented algorithm Song 169,273,1990-08-30,"['artist_38', 'artist_35']",album_38,['genre_7'],[]
song_170,Managed object-oriented system engine Song 170,377,2001-03-11,"['artist_5', 'artist_87']",album_91,['genre_13'],['award_21']
song_171,Down-sized zero administration system engine Song 171,261,2005-02-03,['artist_46'],album_92,['genre_12'],[]
song_172,Ameliorated background synergy Song 172,149,2010-11-05,"['artist_57', 'artist_17']",,['genre_9'],['award_15']
song_173,Business-focused bifurcated flexibility Song 173,240,1999-05-24,['artist_97'],album_70,['genre_10'],[]
song_174,Focused systemic access Song 174,122,1986-06-02,['artist_0'],album_22,"['genre_6', 'genre_12']",[]
song_175,Optimized web-enabled instruction set Song 175,201,2013-03-29,"['artist_2', 'artist_25']",,['genre_8'],[]
song_176,Robust impactful firmware Song 176,340,2007-03-19,['artist_91'],album_25,['genre_13'],[]
song_177,Multi-channeled asymmetric flexibility Song 177,387,2014-04-11,['artist_67'],album_50,['genre_0'],[]
song_178,Upgradable discrete framework Song 178,383,1990-02-07,"['artist_0', 'artist_67']",album_18,['genre_2'],[]
song_179,Innovative global algorithm Song 179,391,2012-07-23,"['artist_70', 'artist_67']",album_13,"['genre_10', 'genre_9']",[]
song_180,Fully-configurable zero administration paradigm Song 180,381,2020-04-01,['artist_95'],album_34,"['genre_2', 'genre_5']",[]
song_181,Self-enabling global capability Song 181,167,1989-05-10,['artist_13'],album_8,['genre_9'],[]
song_182,Devolved grid-enabled software Song 182,365,1999-11-01,"['artist_90', 'artist_94']",album_28,['genre_13'],[]
song_183,Multi-lateral bottom-line moratorium Song 183,403,2005-07-05,['artist_24'],album_42,['genre_10'],[]
song_184,User-centric full-range extranet Song 184,287,1986-05-31,['artist_16'],album_23,['genre_14'],[]
song_185,Horizontal intermediate encoding Song 185,172,2020-06-01,['artist_56'],album_24,['genre_0'],['award_14']
song_186,Exclusive high-level solution Song 186,225,1988-04-18,"['artist_37', 'artist_70']",album_35,['genre_9'],[]
song_187,Extended tertiary focus group Song 187,147,2006-12-15,['artist_45'],album_3,['genre_1'],[]
song_188,Implemented intermediate productivity Song 188,350,1985-06-14,['artist_2'],album_26,['genre_7'],[]
song_189,User-friendly 6thgeneration software Song 189,264,2022-01-09,"['artist_55', 'artist_13']",album_97,['genre_6'],[]
song_190,Reactive modular moderator Song 190,355,2018-01-09,"['artist_22', 'artist_5']",album_66,['genre_4'],['award_26']
song_191,Advanced global groupware Song 191,328,2007-06-22,['artist_79'],album_6,['genre_12'],[]
song_192,Progressive mission-critical architecture Song 192,322,2005-09-18,['artist_77'],,['genre_5'],['award_10']
song_193,Compatible well-modulated protocol Song 193,289,2022-08-14,"['artist_22', 'artist_87']",album_78,['genre_1'],[]
song_194,Cross-group fault-tolerant concept Song 194,395,1992-06-16,"['artist_18', 'artist_37']",,"['genre_7', 'genre_1']",[]
song_195,Diverse intermediate infrastructure Song 195,341,2023-11-25,"['artist_43', 'artist_59']",album_68,['genre_13'],[]
song_196,Right-sized explicit attitude Song 196,337,1998-07-12,['artist_14'],,['genre_9'],[]
song_197,Upgradable exuding focus group Song 197,168,1990-11-18,['artist_2'],album_78,['genre_1'],[]
song_198,Grass-roots bifurcated architecture Song 198,227,2001-08-04,"['artist_37', 'artist_17']",album_88,['genre_6'],[]
song_199,Pre-emptive homogeneous archive Song 199,228,1982-08-29,['artist_5'],album_15,"['genre_8', 'genre_7']",[]
song_200,Up-sized 3rdgeneration application Song 200,249,1984-03-04,"['artist_72', 'artist_89']",album_95,"['genre_4', 'genre_6']",[]
song_201,Streamlined multimedia superstructure Song 201,347,1994-06-11,"['artist_85', 'artist_84']",,['genre_0'],[]
song_202,Total analyzing service-desk Song 202,244,2015-03-31,['artist_33'],album_89,"['genre_0', 'genre_14']",[]
song_203,Down-sized solution-oriented infrastructure Song 203,133,2008-09-02,['artist_36'],album_1,"['genre_14', 'genre_11']",[]
song_204,Switchable secondary knowledgebase Song 204,179,1999-04-20,"['artist_4', 'artist_84']",album_84,['genre_12'],[]
song_205,Networked discrete ability Song 205,213,1984-10-19,"['artist_22', 'artist_40']",album_69,"['genre_3', 'genre_12']",[]
song_206,Distributed disintermediate methodology Song 206,208,2014-12-06,['artist_44'],,"['genre_4', 'genre_6']",[]
song_207,Grass-roots bi-directional info-mediaries Song 207,419,2012-06-29,"['artist_54', 'artist_2']",album_88,['genre_2'],[]
song_208,Switchable non-volatile moderator Song 208,267,2021-11-22,['artist_40'],album_52,['genre_9'],[]
song_209,Managed fresh-thinking project Song 209,205,1984-04-24,['artist_99'],album_59,['genre_3'],[]
song_210,Horizontal systemic core Song 210,191,2008-12-24,"['artist_86', 'artist_70']",album_77,['genre_4'],[]
song_211,Realigned 24hour middleware Song 211,227,1985-01-30,"['artist_98', 'artist_81']",album_68,['genre_13'],[]
song_212,Reduced asynchronous support Song 212,417,2006-05-06,['artist_85'],album_9,['genre_13'],[]
song_213,Organic secondary superstructure Song 213,257,1994-07-17,['artist_10'],album_9,['genre_13'],[]
song_214,Cloned optimal matrix Song 214,144,2024-08-07,['artist_18'],album_28,['genre_13'],['award_16']
song_215,Business-focused upward-trending info-mediaries Song 215,139,2022-10-02,['artist_72'],album_84,['genre_12'],[]
song_216,Reverse-engineered web-enabled policy Song 216,122,2021-01-12,"['artist_31', 'artist_32']",album_67,['genre_8'],[]
song_217,Persevering clear-thinking algorithm Song 217,169,2004-07-18,['artist_97'],,"['genre_9', 'genre_7']",[]
song_218,Progressive exuding secured line Song 218,363,1989-10-18,"['artist_45', 'artist_51']",album_71,['genre_0'],[]
song_219,Extended zero-defect migration Song 219,121,2008-08-06,"['artist_98', 'artist_51']",album_57,['genre_13'],[]
song_220,Cross-group intangible portal Song 220,190,2020-04-24,['artist_9'],,"['genre_14', 'genre_5']",[]
song_221,Enhanced grid-enabled encryption Song 221,223,1989-12-22,['artist_88'],album_12,"['genre_6', 'genre_0']",[]
song_222,Triple-buffered systematic application Song 222,283,2008-11-29,['artist_76'],,"['genre_0', 'genre_3']",['award_15']
song_223,Versatile grid-enabled project Song 223,287,2004-12-27,['artist_46'],,['genre_8'],[]
song_224,Up-sized upward-trending initiative Song 224,252,2007-06-29,"['artist_6', 'artist_60']",album_50,['genre_0'],[]
song_225,User-centric optimal budgetary management Song 225,413,2017-06-30,['artist_73'],album_58,['genre_9'],[]
song_226,Balanced system-worthy solution Song 226,241,2014-02-05,"['artist_58', 'artist_74']",album_10,['genre_8'],[]
song_227,Cloned user-facing access Song 227,280,2023-11-26,"['artist_48', 'artist_68']",album_44,['genre_12'],[]
song_228,Networked logistical time-frame Song 228,132,2008-01-06,"['artist_68', 'artist_39']",,['genre_7'],[]
song_229,Cross-platform local focus group Song 229,196,1987-07-04,['artist_55'],album_51,"['genre_13', 'genre_11']",[]
song_230,Business-focused interactive task-force Song 230,214,2000-04-28,['artist_60'],,"['genre_3', 'genre_6']",[]
song_231,Face-to-face mission-critical pricing structure Song 231,282,2010-11-27,['artist_18'],album_44,['genre_12'],[]
song_232,Integrated user-facing orchestration Song 232,187,1998-04-11,['artist_42'],album_98,['genre_4'],[]
song_233,Integrated tertiary synergy Song 233,134,1998-07-25,"['artist_78', 'artist_79']",album_84,['genre_12'],[]
song_234,Synchronized bottom-line protocol Song 234,162,1994-08-15,['artist_26'],,['genre_11'],[]
song_235,Configurable systemic adapter Song 235,135,1998-12-29,['artist_63'],album_95,"['genre_4', 'genre_6']",[]
song_236,Advanced intangible installation Song 236,172,2015-06-21,"['artist_26', 'artist_95']",,"['genre_13', 'genre_7']",[]
song_237,Reverse-engineered tertiary analyzer Song 237,269,2012-08-23,"['artist_96', 'artist_53']",album_94,['genre_4'],[]
song_238,Optional object-oriented Internet solution Song 238,138,1991-09-09,"['artist_8', 'artist_35']",,['genre_14'],[]
song_239,Managed well-modulated groupware Song 239,195,2012-05-02,"['artist_46', 'artist_39']",album_23,['genre_14'],[]
song_240,Open-architected intermediate policy Song 240,374,1987-07-04,"['artist_18', 'artist_57']",album_61,['genre_0'],[]
song_241,Robust uniform moratorium Song 241,196,2010-03-24,['artist_36'],,"['genre_8', 'genre_10']",[]
song_242,Re-engineered global service-desk Song 242,145,1996-11-28,['artist_43'],album_26,['genre_7'],['award_25']
song_243,Vision-oriented context-sensitive throughput Song 243,200,1987-08-30,"['artist_44', 'artist_17']",album_34,['genre_5'],[]
song_244,Organized coherent function Song 244,167,1983-09-02,"['artist_23', 'artist_25']",album_72,['genre_7'],['award_1']
song_245,Balanced fault-tolerant contingency Song 245,225,2003-06-11,['artist_9'],,"['genre_0', 'genre_10']",[]
song_246,Assimilated non-volatile implementation Song 246,313,2008-10-07,"['artist_9', 'artist_19']",album_40,['genre_3'],[]
