treaty_id,treaty_type,coverage_start_date,coverage_end_date,ceding_company,reinsurer_name,limit_amount,retention_amount,quota_share_percent,commission_percent,profit_commission_flag
TREATY889305,XoL,2020-05-24,2022-01-23,Combs-Murphy,Dennis Group,8932398.33,237957.04,72.1,15.53,False
TREATY115111,Facultative,2018-08-18,2020-08-24,Gomez-Graham,Davis-Medina,6390387.89,496435.94,26.17,17.23,True
TREATY796918,XoL,2016-01-18,2018-06-07,Wilson Group,Smith-Fisher,2626523.15,628617.37,62.37,17.67,False
TREATY713302,XoL,2016-06-11,2018-05-20,Skinner LLC,"Avila, Lopez and Davis",5916150.16,406827.67,23.52,7.79,True
TREATY715785,Surplus,2022-10-13,2026-02-27,"Brandt, Henson and Smith",Cruz-Webster,1112858.38,363285.04,36.76,12.98,False
TREATY004662,XoL,2023-09-25,2027-04-26,Powers LLC,Davis LLC,1323776.37,154480.16,16.27,8.36,False
TREATY069712,Surplus,2022-04-03,2024-12-11,"Lopez, Berry and Alvarez",Phelps-Lopez,350368.46,528334.24,84.52,18.28,True
TREATY934149,Surplus,2015-07-08,2020-05-16,Reid-Santiago,Hubbard and Sons,6188294.1,840004.93,22.12,19.87,True
TREATY261620,Quota Share,2015-07-19,2018-09-10,"Myers, Martin and Bernard",Chang Ltd,6713388.77,72341.53,30.48,18.69,True
TREATY186528,XoL,2023-06-11,2027-04-28,"Wright, Wall and Hughes",Jackson LLC,6980120.16,272351.29,64.69,5.65,False
TREATY383404,XoL,2015-09-21,2020-02-04,Weber LLC,"Rosales, Cooke and Sherman",7511346.09,763517.17,14.5,11.1,True
TREATY755828,Quota Share,2021-09-24,2025-07-09,"Hubbard, Cline and Haynes",Romero Group,6846803.22,822392.44,62.16,22.18,False
TREATY020460,Facultative,2023-06-18,2025-06-25,"Martinez, Duffy and Holland",Johnston Group,1215768.22,486119.03,30.02,12.59,False
TREATY189445,XoL,2016-03-26,2019-11-10,Holt Ltd,"Rivera, Cowan and Duncan",8106953.72,237887.29,16.01,24.2,False
TREATY315209,Surplus,2017-05-08,2021-08-07,Gibson-Rubio,Marshall Ltd,9022669.53,275560.29,71.73,10.95,False
TREATY322479,Surplus,2022-04-07,2024-09-30,Carpenter and Sons,Swanson PLC,8240227.08,464356.54,38.08,13.14,True
TREATY265713,XoL,2018-07-01,2020-03-23,Stewart Inc,"Levine, Woodward and Gates",1676302.65,213805.3,64.67,22.56,True
TREATY376546,Quota Share,2021-02-02,2025-11-09,Burns Ltd,Allen-Harmon,9534727.87,567576.27,12.49,14.08,True
TREATY555782,Facultative,2020-04-27,2023-02-09,"Johnson, Mora and Anderson","Cole, Gordon and Chen",3668849.88,73484.32,19.55,7.78,True
TREATY068348,Quota Share,2022-04-20,2025-08-30,Cervantes-Rodriguez,Smith-Smith,4853304.05,800562.07,25.17,9.07,False
TREATY901971,XoL,2017-10-01,2019-02-12,Leonard LLC,Krause-Stewart,8219532.29,623012.08,34.88,6.46,True
TREATY702888,Quota Share,2016-05-30,2018-04-28,"Powell, Warren and Morris",Craig-Norton,6578942.85,410468.93,24.98,24.4,False
TREATY101287,Surplus,2022-12-24,2025-03-23,Obrien LLC,"Hines, Willis and Koch",3584541.96,953271.7,80.38,11.2,False
TREATY182436,XoL,2022-06-17,2026-05-04,Ferrell-Smith,Wallace-Scott,2997625.17,766961.07,45.91,12.4,True
TREATY621541,Surplus,2023-03-08,2025-08-19,"Petersen, Reyes and Schroeder",Alexander-Baldwin,1947367.65,131818.43,34.28,23.87,True
TREATY607917,Facultative,2023-03-08,2026-04-02,"Jones, Molina and Thompson","Fisher, Smith and Clark",3171485.65,809200.2,80.17,7.99,True
TREATY178448,Quota Share,2015-05-11,2019-12-19,Williams-Ellison,Morton LLC,2747010.3,532777.49,67.7,5.69,False
TREATY003449,Facultative,2021-11-15,2024-07-13,Bauer-Rasmussen,Mitchell and Sons,4918795.17,282066.34,27.94,21.87,True
TREATY456498,Surplus,2017-01-31,2020-11-08,"Martinez, Dyer and Scott",Bell PLC,8798886.09,715202.4,47.45,23.01,True
TREATY432201,Facultative,2018-08-30,2019-11-28,"Jacobs, Bailey and Sparks",Martin Ltd,4375887.61,747710.35,28.71,19.04,True
TREATY863201,Facultative,2021-01-23,2023-02-25,Marsh Group,"Miller, Lam and Evans",3378419.19,156568.77,58.7,15.67,True
TREATY848079,Quota Share,2022-09-16,2026-04-24,Davis and Sons,"Perry, Jones and Hernandez",6453737.4,194476.9,82.74,8.16,False
TREATY395109,Facultative,2021-04-03,2023-08-24,"Scott, Zhang and Berry",Chapman Group,3768628.13,986760.54,37.57,6.18,False
TREATY055268,Quota Share,2019-10-29,2022-04-29,"Duffy, Wallace and Hicks","Short, Arias and Allen",5372265.8,965242.3,81.46,5.34,True
TREATY504592,Quota Share,2016-07-13,2018-04-20,Ellis-Walker,Robertson and Sons,3162023.51,439061.45,82.75,16.05,True
TREATY040196,Surplus,2017-09-18,2020-02-12,"Shelton, Farley and Cantrell",Carpenter-Johnson,157485.6,873259.32,33.55,17.66,True
TREATY816047,Surplus,2016-09-01,2018-01-17,"Wright, Gray and Henderson",Barnett-Adams,7616482.86,820002.08,87.92,14.48,True
TREATY039628,XoL,2018-10-19,2022-01-11,Lopez Ltd,"Gonzalez, Mckenzie and Mason",5181520.8,815235.84,76.06,19.8,True
TREATY487815,Quota Share,2015-12-23,2017-02-16,"West, Smith and Rosario",Ross Inc,8705076.19,322893.02,48.79,11.92,False
TREATY694906,Surplus,2016-09-20,2017-11-06,Patterson-Walker,"Bowen, Marshall and Bryan",5458446.28,182445.75,75.04,13.31,True
TREATY576474,Surplus,2018-05-22,2020-08-05,Bailey and Sons,Johnson-Keller,3617504.38,380090.12,37.85,24.33,False
TREATY818373,Quota Share,2016-02-10,2018-06-18,Thomas Ltd,Jenkins and Sons,1544378.32,434410.89,83.23,11.61,False
TREATY833587,XoL,2018-01-18,2020-08-04,Russell-Hester,"Moss, Richards and Savage",1684093.18,866435.9,27.22,19.21,True
TREATY594346,Quota Share,2021-02-05,2023-10-29,"Hill, Williams and Quinn",Cowan-Valencia,1964687.08,565875.34,65.3,15.12,True
TREATY662189,Surplus,2015-08-04,2019-03-26,"Dominguez, Stephens and Wilson",Reed-Moore,5508364.36,615362.46,37.65,6.73,True
TREATY283425,Quota Share,2018-04-02,2022-03-04,Edwards Inc,"Wang, Mack and Johnson",6420721.04,657611.66,86.69,15.69,True
TREATY780474,XoL,2020-04-01,2023-02-18,"James, Cantrell and Jones",Gardner-James,3808286.09,782562.05,70.94,12.12,True
TREATY729979,XoL,2020-08-28,2024-02-09,Robinson Ltd,"Kennedy, Klein and Ryan",5861845.84,830988.99,15.98,24.35,False
TREATY208486,Surplus,2023-04-21,2028-02-04,Valencia Group,Wilkerson-Levine,4014268.84,782362.29,13.89,6.63,True
TREATY367091,XoL,2017-08-04,2021-10-17,"Curtis, Reed and Roberts",Baker Group,9192679.31,803450.2,26.06,6.83,True
TREATY056617,Facultative,2016-02-29,2017-04-28,"Brown, Obrien and Watkins",Hunter LLC,4918629.29,837348.28,39.28,19.77,False
TREATY073476,Facultative,2023-08-20,2025-12-11,Hall-Mccarthy,Price PLC,1981460.48,141066.97,82.58,18.5,False
TREATY057341,XoL,2020-06-01,2021-12-25,Dalton-Smith,Ramirez-Carson,5747357.4,546757.02,27.14,14.85,True
TREATY588728,Quota Share,2015-09-24,2018-09-14,Hodge and Sons,Smith-Collier,3447382.12,414491.23,77.77,14.24,True
TREATY408357,Facultative,2019-09-06,2023-02-11,Reynolds Group,Parker PLC,1734824.2,739805.14,48.96,18.6,False
TREATY625602,Surplus,2015-09-13,2018-10-23,Harris LLC,Williamson-Bell,2472765.15,828688.58,62.67,11.29,True
TREATY774245,XoL,2022-04-08,2024-03-30,"Perez, Barrera and Wood","Willis, Medina and Berg",3896873.27,821219.58,57.25,9.5,True
TREATY708999,Quota Share,2015-01-03,2019-03-25,Stone-Wilson,"Fitzpatrick, Mejia and Lopez",5039453.03,368208.29,62.98,9.27,False
TREATY091316,Quota Share,2018-06-26,2019-10-18,Montoya-Fuentes,"Olsen, Hayden and Perry",7562478.26,510143.0,16.29,21.9,True
TREATY636265,XoL,2020-09-21,2023-07-25,Harrington-Carr,"Harvey, Harper and Ross",2285739.15,580599.29,15.39,6.77,True
TREATY300038,Quota Share,2017-01-05,2019-10-18,Brown Inc,"Nelson, Castro and Anderson",247917.72,640169.71,47.29,7.37,True
TREATY764921,Facultative,2015-05-02,2019-10-19,"Perez, Casey and Rogers",Jones PLC,1075805.76,458951.09,46.55,19.68,False
TREATY947380,Surplus,2019-06-26,2024-02-27,Turner-Williams,Greene-Wagner,8612977.41,324906.01,56.07,13.54,True
TREATY964254,Quota Share,2021-04-20,2025-05-20,Byrd LLC,Price Inc,3129376.8,283452.91,20.39,23.31,False
TREATY142250,Surplus,2015-04-14,2017-04-04,Valencia Group,Thompson-Parks,745971.71,677284.22,13.92,10.08,False
TREATY160243,Surplus,2021-01-13,2025-04-10,Hunt PLC,"Griffin, Fox and Ross",410824.7,812943.29,14.62,16.95,False
TREATY740190,XoL,2018-07-24,2023-01-11,Dean-Garcia,Glenn Group,2281446.34,473971.68,49.12,5.69,True
TREATY629374,Facultative,2021-07-18,2023-04-14,"Lane, May and Kramer",Woods Inc,125496.77,521848.44,56.35,13.12,True
TREATY777013,Quota Share,2021-02-06,2022-08-08,"Hart, Fernandez and Juarez",Martin-Skinner,4008150.2,951361.51,70.98,6.73,True
TREATY652869,XoL,2017-03-16,2019-09-12,Ross-Berg,Wilson Inc,5063126.49,436931.02,31.4,6.12,False
TREATY728205,Facultative,2019-02-05,2021-10-03,"Villa, Hodges and Marshall",Cain-Gomez,7783113.94,248647.82,46.17,9.64,False
TREATY027714,Surplus,2019-03-13,2021-05-21,"Mullins, Smith and Hale",Arias-Buckley,3668851.23,634747.26,40.99,18.08,True
TREATY907610,Quota Share,2016-09-21,2019-01-23,Harris-Carr,Robinson Ltd,2175161.68,879641.94,86.38,20.21,False
TREATY223105,XoL,2015-12-25,2019-10-23,"Hull, Walker and Sanchez","Moore, Campbell and Brown",7041696.18,529182.63,79.05,9.09,False
TREATY130841,Surplus,2020-09-27,2022-04-02,Morales-David,Sandoval-Byrd,8751572.12,243864.93,53.52,10.55,True
TREATY889856,Facultative,2021-01-23,2025-03-27,Higgins and Sons,Beasley-Harris,5256050.0,161208.75,69.31,23.86,False
TREATY281532,Facultative,2023-05-22,2024-12-30,"Gomez, Davis and James",Rodriguez and Sons,1027823.39,812120.02,19.05,12.62,True
TREATY236818,Surplus,2019-06-25,2020-08-15,Young Ltd,Ortega and Sons,8259811.71,650456.56,39.32,5.85,False
TREATY058481,Surplus,2019-02-27,2021-10-10,"Vasquez, Huang and Leach","Edwards, Cabrera and Middleton",3495703.06,600264.09,65.87,11.15,True
TREATY038061,Surplus,2016-05-21,2019-05-04,Olsen-Simmons,Perry-Mclean,8231032.14,618226.42,16.66,21.6,False
TREATY807917,XoL,2022-12-09,2025-04-13,Klein LLC,"Smith, Hoffman and Martin",3314952.8,147594.9,15.83,12.71,False
TREATY446663,XoL,2023-01-02,2027-08-24,"King, Myers and Adams","Alvarez, Parrish and Medina",136547.84,182736.43,87.34,14.58,False
TREATY287894,Quota Share,2019-06-11,2022-09-25,"Garcia, Webster and Davenport",Simpson-Hoover,7266983.37,103631.42,21.38,15.91,True
TREATY451400,XoL,2019-02-14,2021-03-16,Mckee and Sons,Petty Group,3704433.42,234521.83,26.45,22.88,True
TREATY605560,Surplus,2016-08-26,2021-01-19,Davis PLC,"Stanley, Peterson and Walter",2704528.95,632814.0,87.34,14.71,False
TREATY052885,Facultative,2017-12-31,2020-12-14,Contreras-Hutchinson,"Davis, Wilson and Townsend",7734815.36,656670.8,16.35,13.46,False
TREATY270259,Facultative,2015-02-22,2019-05-03,Miller Group,Gonzalez PLC,8469090.9,814048.9,85.49,18.6,True
TREATY458557,Surplus,2022-04-06,2027-01-11,Lewis-Young,Clay and Sons,3078350.63,515348.37,85.56,6.73,True
TREATY969796,Quota Share,2016-11-26,2021-01-02,Burgess Group,Day Group,8906762.16,122241.28,86.94,18.37,True
TREATY405465,Surplus,2020-06-04,2024-02-21,"Nelson, Young and Horton",Murray-Walker,5460789.91,997748.7,77.87,21.85,False
TREATY888920,Facultative,2017-09-17,2021-05-06,Wright-Rogers,White-Brown,6675381.63,977582.67,10.38,16.07,False
TREATY375596,Surplus,2017-04-09,2020-09-20,Austin and Sons,"Mitchell, Sullivan and Perez",2123456.79,956215.23,32.6,7.4,True
TREATY727663,Facultative,2022-03-02,2024-02-07,Barnett Inc,Barber LLC,6675576.29,323617.49,37.69,20.87,True
TREATY157039,XoL,2015-08-15,2018-10-19,Robles LLC,Erickson Group,5681312.75,261864.69,52.7,17.99,True
TREATY828658,XoL,2020-12-08,2025-04-21,Burch Group,"Cross, Scott and Hill",5419013.15,979944.38,37.53,13.5,False
TREATY163092,Surplus,2019-12-22,2022-11-07,"Estrada, Williams and Petersen",Gordon-Williams,1393946.0,352544.48,74.04,10.95,True
TREATY608402,Surplus,2020-01-24,2021-10-05,Powell Ltd,Estrada Ltd,5015985.49,63236.37,58.74,20.98,False
TREATY914069,XoL,2015-06-21,2019-07-11,"Rodriguez, Wilson and Manning",Davis Ltd,2160440.25,658705.89,37.07,15.62,True
TREATY579344,Quota Share,2022-03-30,2024-10-15,Oliver-Castaneda,Lawrence-Wise,1374148.63,138275.29,40.86,8.28,False
TREATY472586,Quota Share,2015-10-05,2019-02-04,Miller-Castillo,Martinez and Sons,9279296.3,674690.61,36.94,13.24,True
TREATY113007,Quota Share,2017-07-10,2022-05-28,"Mccormick, Mitchell and Pacheco",Stone LLC,8979398.3,265219.06,56.01,24.19,False
TREATY417589,XoL,2017-08-24,2018-10-16,Young-Ashley,Robles-Armstrong,9334200.83,837344.85,46.22,15.28,True
TREATY287692,Quota Share,2020-12-15,2024-01-06,Garcia-Gutierrez,Hensley-Gonzales,3884638.83,468826.17,47.92,24.23,True
TREATY297092,Facultative,2018-10-16,2021-04-19,Stuart-Brown,"Brown, Bautista and Anderson",3583772.5,259660.78,59.11,24.91,False
TREATY434056,Facultative,2023-07-13,2026-11-30,"Massey, Jordan and Norton",Hunt LLC,7453968.24,638882.56,32.4,23.28,False
TREATY306834,XoL,2022-01-18,2025-07-10,Bates LLC,"Lopez, Smith and Sharp",6212648.06,97903.48,32.96,22.67,False
TREATY756322,Facultative,2022-06-09,2025-10-20,"Green, Contreras and Thomas",Perry PLC,9115112.81,429080.36,60.92,6.87,False
TREATY488493,Facultative,2021-03-04,2024-03-15,Smith-Schmidt,Martin Group,3888066.79,443815.75,70.97,14.61,False
TREATY473656,Quota Share,2023-01-18,2025-08-21,"Knight, Ramirez and Aguilar",Wiley PLC,3513423.91,608945.9,52.54,7.06,False
TREATY788737,Quota Share,2019-09-23,2021-12-02,White-Dixon,"Holden, Mckinney and Ballard",4868335.88,924085.76,88.35,19.68,True
TREATY202809,XoL,2021-11-01,2024-07-18,"Adams, Macias and Warner","Jackson, West and Franklin",4768611.8,62926.73,17.86,9.68,True
TREATY734478,XoL,2017-08-18,2022-01-07,"Hood, Rodriguez and Shaffer","Jackson, Howard and Blackburn",5554870.36,66582.12,24.52,19.01,False
TREATY821961,XoL,2023-06-30,2028-01-16,"Frey, Baker and Carr","Flores, Weeks and Gonzalez",4552942.23,286561.52,38.38,18.25,True
TREATY451426,Quota Share,2016-12-27,2019-10-26,Fischer and Sons,Stephens Inc,2882281.57,430648.7,49.0,14.21,False
TREATY721997,XoL,2019-09-15,2022-09-24,"Townsend, Flores and Donaldson",Scott-Moore,1627397.47,852807.08,67.4,6.77,True
TREATY677733,XoL,2016-01-05,2018-06-24,Harvey LLC,"Klein, Knight and Hunter",6102741.56,534382.2,11.15,13.4,True
TREATY109279,Facultative,2017-04-06,2019-09-04,Mason PLC,Gregory-Garcia,6207893.42,232680.85,49.6,7.12,True
TREATY260038,XoL,2020-09-07,2022-12-09,"Christensen, Paul and Buchanan",Gallegos Group,1977379.12,879645.86,87.82,20.64,True
TREATY130622,Facultative,2022-05-10,2027-04-29,"Johnson, Ryan and Pugh","Woodard, Perkins and Munoz",5356711.43,394254.05,57.84,5.95,False
TREATY306707,XoL,2015-07-28,2018-02-24,"Johnson, Thompson and Dillon",Owens Ltd,2527961.29,244740.36,69.51,22.71,True
TREATY741710,Facultative,2023-11-27,2026-01-13,Gamble Ltd,Leach-Romero,8740864.37,505699.44,67.85,21.59,True
TREATY163371,Surplus,2023-09-23,2026-09-22,Pearson Ltd,Ponce Inc,593080.83,839170.82,20.01,14.26,False
TREATY425270,XoL,2016-05-18,2020-03-12,Sharp-Perez,Jacobs and Sons,9870771.73,405529.17,64.14,24.41,True
TREATY502927,XoL,2017-01-24,2021-12-20,"Holmes, Carter and Gonzalez","Wright, Herman and Ferguson",695020.03,789270.02,50.95,6.78,True
TREATY253061,XoL,2022-06-29,2026-10-07,James-Green,Mcneil Inc,9935725.9,870918.76,23.14,19.3,False
TREATY561422,Surplus,2016-05-05,2019-04-06,Thompson Ltd,Mccarthy-Hernandez,1022916.68,306297.79,65.96,19.25,True
TREATY287866,Surplus,2022-06-04,2024-05-07,Rosales-Smith,Harrington Inc,5808403.58,513560.41,48.42,19.56,False
TREATY683472,XoL,2023-06-12,2026-10-04,"Banks, Brennan and Martin",Johnston-Bowman,6445406.17,157239.83,26.25,11.65,False
TREATY418432,XoL,2022-01-03,2025-08-13,"Walker, Russo and Neal","Travis, Dixon and Mccall",6366985.9,677194.43,64.52,12.4,True
TREATY517405,Quota Share,2020-10-15,2024-09-29,Hunt-Martinez,Thomas Group,7612614.63,659115.04,68.13,8.13,True
TREATY396160,Surplus,2018-12-17,2020-10-17,Delacruz Inc,"Johnson, Brown and Phelps",1869754.31,327199.99,54.32,22.58,True
TREATY894100,Quota Share,2020-05-10,2024-06-14,"Day, Simpson and Brown",Hernandez-Olson,9716369.01,943968.16,49.48,15.75,False
TREATY841112,XoL,2019-08-01,2021-07-08,"Smith, Roman and Smith","Brown, Beard and Evans",5557033.05,813487.16,85.86,6.76,False
TREATY972816,XoL,2019-04-15,2022-12-21,Lowe LLC,Collier-Henry,4820799.63,185584.54,63.95,12.53,True
TREATY590162,Quota Share,2022-06-19,2027-02-27,Rivas and Sons,"Johnson, Burnett and Bolton",3253051.77,857483.89,83.47,13.19,False
TREATY236277,Facultative,2017-03-15,2020-05-02,Burns PLC,"Garcia, Murray and Logan",211083.3,335482.11,75.92,21.83,True
TREATY665930,Quota Share,2019-02-21,2020-09-13,Lopez LLC,Patterson-Russell,7324591.92,783169.41,28.99,22.64,True
TREATY287094,XoL,2020-02-28,2021-06-07,Carpenter Ltd,Brown and Sons,4713236.47,835109.64,59.9,14.66,True
TREATY012826,Quota Share,2019-10-11,2022-01-16,Morse-Phillips,Rice LLC,9414801.19,983968.36,64.56,20.03,True
TREATY632505,XoL,2021-07-16,2026-02-21,King Group,Matthews-Watson,3566046.33,582577.8,34.9,8.99,False
TREATY212783,Surplus,2023-04-23,2024-08-01,Meza-Roberson,"Garcia, Williams and Larson",8475194.28,453790.82,48.19,19.44,False
TREATY365606,Surplus,2022-12-16,2024-02-03,Thomas-Cox,"Morrow, Mcgee and Dudley",6226842.35,414317.64,49.66,16.79,False
TREATY882756,Facultative,2015-04-06,2016-07-09,Johnston Group,Knapp-Johnson,5457826.04,335781.11,43.41,11.67,False
TREATY791443,Quota Share,2019-09-26,2022-10-11,Lane-Castillo,"Moore, Scott and Perez",8213372.57,962959.04,24.26,13.81,True
TREATY426835,Facultative,2019-11-25,2023-03-29,Buchanan-Lang,Carter-Rivers,7769256.41,736502.81,45.35,19.22,False
TREATY195823,Surplus,2023-05-26,2026-04-21,Richards-Ware,Randolph PLC,5976384.28,654018.45,48.26,20.98,True
TREATY170278,Surplus,2019-11-17,2022-08-07,"Maxwell, Brennan and Mccoy","Alexander, Ward and Lee",1935995.34,242318.78,59.26,18.79,True
TREATY426490,Facultative,2020-05-17,2024-08-04,Johnson Ltd,Molina-Decker,6666349.87,919298.94,38.38,18.05,True
TREATY106883,Facultative,2019-12-31,2021-11-12,Jones Inc,"Roberson, Chen and Fischer",9323452.37,672231.03,49.51,18.33,True
TREATY383438,XoL,2017-07-23,2019-04-25,Blair-Colon,Hopkins LLC,8025103.44,777938.76,64.56,8.54,True
TREATY934454,Quota Share,2015-12-07,2018-10-19,Campbell-Hoffman,"Johnson, Burton and Smith",6549542.04,395759.69,76.21,19.54,True
TREATY180098,Facultative,2021-08-13,2025-10-18,"Case, Johnson and Young","Baker, Becker and Allen",1911021.77,981634.08,34.01,12.2,False
TREATY055534,Quota Share,2021-05-05,2025-09-17,"Miller, King and Barrett",Davis Inc,4606220.89,634246.02,59.45,14.02,False
TREATY721160,Quota Share,2020-11-24,2025-09-01,"Smith, Smith and Contreras","Maxwell, Smith and Huang",2185125.66,446875.06,47.06,7.0,False
TREATY658918,Facultative,2022-10-08,2027-04-05,Soto and Sons,Rogers-Carney,3521019.12,266169.56,46.75,11.97,False
TREATY843183,Quota Share,2017-11-11,2019-12-03,Brown Ltd,"Smith, Campos and Wheeler",782712.51,893627.37,85.43,6.56,False
TREATY756693,Surplus,2021-05-29,2024-12-25,"Stephens, Cortez and Beard",Simmons-Ramirez,7725958.15,439454.34,58.52,22.69,True
TREATY176690,Surplus,2021-04-21,2024-06-01,"Porter, Ross and Richardson","Williams, Lee and Noble",7851025.56,388907.28,80.86,7.2,True
TREATY148376,Surplus,2021-07-12,2022-10-16,Roberts-Delgado,"Bell, Allen and Mcintyre",9267601.08,398979.34,58.59,12.04,False
TREATY713487,Quota Share,2023-06-19,2024-11-16,Young-Jordan,Norton-Hernandez,7480162.95,430804.14,72.6,20.9,True
TREATY853624,Surplus,2015-12-24,2020-09-02,"Atkinson, Malone and Ayala","Acosta, Smith and Reed",4476508.01,323311.69,61.54,19.43,False
TREATY761477,Facultative,2023-11-01,2025-01-08,Martinez Inc,Brown Ltd,2550315.77,611138.08,74.83,23.68,True
TREATY781294,Quota Share,2023-04-03,2027-08-11,Donovan Inc,Green-Meyer,5681668.43,112413.63,24.89,17.89,True
TREATY906840,XoL,2020-07-03,2024-01-29,"Miller, Thomas and Simpson",Jones PLC,7958465.5,285346.02,44.48,15.73,True
TREATY570656,Surplus,2023-08-09,2027-05-17,Gonzalez and Sons,Turner-Berry,7356220.67,357270.87,63.88,22.79,False
TREATY585686,Quota Share,2021-12-11,2023-12-29,"Hart, Henderson and Freeman",Franco LLC,1355023.67,475718.36,40.19,7.03,True
