policy_id,policy_group_id,start_date,end_date,line_of_business,coverage_term_months,underwriting_year,currency,ifrs_model_type,status
POL43764027,GRP37253,2022-01-13,2024-01-03,Property,24,2022,USD,GMM,Active
POL98197429,GRP69390,2025-11-29,2026-08-26,Life,9,2025,USD,PAA,Active
POL55208994,GRP38473,2025-01-22,2026-08-15,Property,19,2025,USD,GMM,Cancelled
POL92781742,GRP56704,2022-12-05,2025-07-22,Health,32,2022,USD,GMM,Expired
POL62524704,GRP85567,2021-01-17,2021-08-15,Health,7,2021,GBP,GMM,Cancelled
POL86012643,GRP47723,2022-12-18,2025-01-06,Health,25,2022,GBP,GMM,Expired
POL33164240,GRP86565,2024-08-02,2027-07-18,Health,36,2024,EUR,GMM,Expired
POL75800278,GRP36688,2023-03-30,2025-04-18,Health,25,2023,GBP,PAA,Cancelled
POL68818988,GRP98043,2025-12-07,2028-03-26,Motor,28,2025,EUR,PAA,Cancelled
POL70969099,GRP17204,2025-06-18,2028-04-03,Motor,34,2025,EUR,PAA,Cancelled
POL34448218,GRP60487,2023-04-21,2026-04-05,Motor,36,2023,EUR,GMM,Active
POL51373717,GRP36823,2024-02-23,2024-09-20,Health,7,2024,EUR,PAA,Cancelled
POL11334640,GRP66816,2025-11-13,2026-10-09,Life,11,2025,USD,PAA,Active
POL19777336,GRP99798,2025-07-13,2026-12-05,Life,17,2025,GBP,PAA,Active
POL66419858,GRP11881,2018-09-27,2020-06-18,Motor,21,2018,EUR,GMM,Expired
POL71779928,GRP23400,2018-05-07,2020-05-26,Motor,25,2018,EUR,PAA,Active
POL78607428,GRP91249,2022-02-12,2024-08-30,Property,31,2022,GBP,GMM,Cancelled
POL20808068,GRP94032,2022-12-29,2025-09-14,Property,33,2022,USD,PAA,Expired
POL50363654,GRP72037,2022-09-24,2023-03-23,Health,6,2022,USD,GMM,Active
POL38853039,GRP14917,2018-04-09,2020-01-29,Life,22,2018,EUR,GMM,Expired
POL35059492,GRP89774,2020-10-17,2023-10-02,Life,36,2020,USD,GMM,Active
POL16807461,GRP25432,2020-05-07,2022-12-23,Motor,32,2020,USD,PAA,Expired
POL65425563,GRP79302,2025-11-12,2026-07-10,Property,8,2025,EUR,PAA,Expired
POL03006202,GRP71206,2025-12-15,2028-02-03,Health,26,2025,GBP,GMM,Expired
POL03145239,GRP22058,2022-05-02,2024-05-21,Life,25,2022,GBP,GMM,Cancelled
POL68626695,GRP15661,2025-04-06,2026-04-01,Life,12,2025,GBP,PAA,Expired
POL78441089,GRP51046,2024-04-02,2026-05-22,Life,26,2024,EUR,GMM,Expired
POL19992508,GRP52177,2018-02-11,2020-07-30,Property,30,2018,GBP,PAA,Expired
POL57121204,GRP34619,2019-03-16,2021-10-31,Life,32,2019,EUR,GMM,Cancelled
POL36072047,GRP53312,2022-08-28,2025-03-15,Motor,31,2022,EUR,GMM,Active
POL11038877,GRP53127,2018-10-24,2019-06-21,Health,8,2018,EUR,GMM,Expired
POL11407819,GRP55731,2024-09-29,2025-12-23,Life,15,2024,USD,GMM,Expired
POL09150042,GRP70818,2024-01-12,2026-09-28,Health,33,2024,GBP,GMM,Expired
POL78434356,GRP81313,2023-12-25,2026-08-11,Property,32,2023,EUR,GMM,Active
POL16668476,GRP73945,2024-07-14,2025-02-09,Motor,7,2024,USD,GMM,Cancelled
POL11479955,GRP86222,2025-09-01,2028-04-18,Motor,32,2025,EUR,GMM,Expired
POL91713669,GRP23166,2024-07-07,2026-09-25,Life,27,2024,USD,PAA,Cancelled
POL46538729,GRP41665,2019-10-03,2022-05-20,Property,32,2019,GBP,PAA,Cancelled
POL11393895,GRP34996,2022-12-28,2023-08-25,Health,8,2022,EUR,PAA,Expired
POL36875453,GRP95338,2020-09-28,2023-09-13,Motor,36,2020,EUR,GMM,Active
POL11788653,GRP69185,2018-02-05,2020-02-25,Motor,25,2018,GBP,GMM,Expired
POL18415458,GRP77907,2023-07-03,2026-04-18,Motor,34,2023,EUR,PAA,Expired
POL07249996,GRP72228,2021-08-07,2023-09-26,Health,26,2021,EUR,GMM,Active
POL98872404,GRP84253,2018-03-15,2019-06-08,Health,15,2018,EUR,GMM,Expired
POL50624132,GRP84062,2020-03-04,2021-04-28,Life,14,2020,EUR,PAA,Active
POL61102116,GRP47482,2020-01-04,2021-05-28,Health,17,2020,GBP,PAA,Expired
POL17240072,GRP08117,2025-11-12,2028-05-30,Motor,31,2025,USD,PAA,Active
POL15557534,GRP49834,2019-01-28,2020-02-22,Motor,13,2019,EUR,GMM,Active
POL49890195,GRP15131,2022-02-22,2023-06-17,Health,16,2022,GBP,PAA,Cancelled
POL49940585,GRP61737,2020-12-15,2021-11-10,Motor,11,2020,USD,PAA,Active
POL74421849,GRP92555,2019-08-23,2020-10-16,Health,14,2019,EUR,GMM,Expired
POL16234583,GRP29238,2021-06-12,2022-05-08,Health,11,2021,EUR,GMM,Active
POL75145962,GRP38506,2022-04-30,2022-12-26,Motor,8,2022,EUR,GMM,Cancelled
POL03713162,GRP94778,2025-01-27,2026-02-21,Property,13,2025,GBP,PAA,Expired
POL68564750,GRP46999,2022-10-11,2024-02-03,Motor,16,2022,GBP,GMM,Expired
POL28263299,GRP89205,2025-07-22,2026-07-17,Life,12,2025,USD,GMM,Expired
POL06902038,GRP90386,2022-11-27,2025-04-15,Health,29,2022,USD,GMM,Expired
POL45518277,GRP56075,2025-10-31,2026-08-27,Life,10,2025,GBP,PAA,Cancelled
POL05229499,GRP97271,2022-12-26,2024-04-19,Life,16,2022,USD,PAA,Expired
POL01386125,GRP91647,2025-12-21,2028-11-05,Property,35,2025,GBP,GMM,Active
POL50762598,GRP97990,2018-07-01,2021-03-17,Health,33,2018,EUR,PAA,Cancelled
POL66460835,GRP77301,2024-10-11,2026-03-05,Property,17,2024,GBP,GMM,Expired
POL79256577,GRP07083,2020-08-20,2021-02-16,Health,6,2020,GBP,PAA,Active
POL55963492,GRP41402,2022-07-02,2024-01-23,Health,19,2022,USD,GMM,Expired
POL86035701,GRP16412,2023-06-04,2024-01-30,Life,8,2023,USD,GMM,Active
POL97725709,GRP33354,2022-04-20,2023-11-11,Motor,19,2022,USD,PAA,Expired
POL20828864,GRP38559,2024-04-12,2026-02-01,Life,22,2024,GBP,GMM,Cancelled
POL51762512,GRP55320,2025-02-27,2026-08-21,Health,18,2025,GBP,PAA,Expired
POL14352383,GRP00523,2019-03-13,2021-10-28,Life,32,2019,GBP,PAA,Active
POL11449643,GRP14082,2023-10-03,2025-10-22,Motor,25,2023,EUR,GMM,Active
POL99173225,GRP32085,2018-04-10,2020-08-27,Health,29,2018,GBP,PAA,Active
POL89429329,GRP48984,2021-08-06,2023-10-25,Health,27,2021,GBP,PAA,Expired
POL42462995,GRP67475,2023-02-26,2024-05-21,Property,15,2023,EUR,GMM,Expired
POL01598254,GRP02418,2019-03-29,2021-10-14,Health,31,2019,EUR,PAA,Expired
POL69952918,GRP99354,2019-07-09,2020-04-04,Property,9,2019,EUR,GMM,Expired
POL13015681,GRP61546,2025-07-26,2028-05-11,Property,34,2025,EUR,GMM,Cancelled
POL30051474,GRP93072,2024-12-11,2026-12-31,Property,25,2024,GBP,GMM,Active
POL72731404,GRP64001,2018-11-28,2020-12-17,Motor,25,2018,USD,GMM,Active
POL58103721,GRP63659,2019-12-02,2022-04-20,Property,29,2019,USD,GMM,Active
POL95550865,GRP31065,2025-11-05,2028-02-23,Health,28,2025,GBP,GMM,Active
POL05795879,GRP41233,2019-02-26,2021-08-14,Health,30,2019,USD,GMM,Active
POL17038386,GRP19387,2025-03-23,2027-09-09,Life,30,2025,USD,PAA,Active
POL01582577,GRP35748,2021-10-30,2024-05-17,Health,31,2021,GBP,PAA,Active
POL99461477,GRP82495,2018-06-20,2019-09-13,Motor,15,2018,USD,GMM,Active
POL24008000,GRP46517,2019-12-07,2020-09-02,Life,9,2019,EUR,PAA,Active
POL67072412,GRP72843,2022-07-22,2024-11-08,Motor,28,2022,EUR,PAA,Active
POL20232252,GRP97327,2022-01-25,2023-05-20,Motor,16,2022,USD,PAA,Expired
POL25538405,GRP57274,2022-09-23,2023-03-22,Motor,6,2022,EUR,GMM,Expired
POL40838289,GRP26383,2019-07-18,2022-05-03,Life,34,2019,GBP,PAA,Cancelled
POL35647290,GRP49109,2019-05-04,2020-02-28,Property,10,2019,GBP,GMM,Expired
POL48091664,GRP01520,2025-07-17,2027-09-05,Health,26,2025,EUR,PAA,Expired
POL07392566,GRP55814,2025-05-23,2028-01-08,Health,32,2025,GBP,PAA,Cancelled
POL84713748,GRP27875,2023-04-03,2023-09-30,Motor,6,2023,USD,GMM,Cancelled
POL66382456,GRP11473,2025-12-30,2026-07-28,Life,7,2025,EUR,GMM,Expired
POL41401156,GRP85326,2025-06-03,2026-07-28,Health,14,2025,USD,PAA,Cancelled
POL65224974,GRP58641,2019-01-01,2019-07-30,Life,7,2019,EUR,PAA,Expired
POL22567373,GRP36014,2025-10-04,2026-11-28,Property,14,2025,GBP,GMM,Cancelled
POL31119712,GRP33724,2022-10-27,2025-01-14,Life,27,2022,USD,PAA,Expired
POL55278449,GRP04375,2024-01-25,2026-05-14,Property,28,2024,EUR,GMM,Active
POL92434928,GRP38995,2020-12-02,2021-09-28,Motor,10,2020,EUR,PAA,Expired
POL19316379,GRP39067,2022-04-04,2024-08-21,Property,29,2022,GBP,PAA,Cancelled
POL22565549,GRP97511,2025-05-17,2028-01-02,Health,32,2025,EUR,GMM,Cancelled
POL09516262,GRP61782,2023-10-22,2026-03-10,Motor,29,2023,EUR,GMM,Cancelled
POL53050612,GRP42994,2024-02-18,2026-09-05,Health,31,2024,USD,PAA,Cancelled
POL78720894,GRP94438,2018-08-26,2019-03-24,Health,7,2018,GBP,GMM,Active
POL84970808,GRP16692,2024-05-30,2025-01-25,Health,8,2024,GBP,PAA,Cancelled
POL43982454,GRP66201,2024-12-12,2026-12-02,Health,24,2024,GBP,GMM,Expired
POL52519291,GRP77413,2018-05-09,2019-10-01,Health,17,2018,USD,GMM,Cancelled
POL55280762,GRP28393,2019-01-29,2019-10-26,Health,9,2019,EUR,PAA,Expired
POL31806292,GRP41599,2022-10-05,2024-07-26,Motor,22,2022,GBP,GMM,Cancelled
POL67449203,GRP43393,2018-12-21,2020-06-13,Property,18,2018,USD,PAA,Cancelled
POL29464374,GRP32705,2022-05-03,2023-11-24,Motor,19,2022,GBP,GMM,Expired
POL16683009,GRP78363,2019-09-29,2022-06-15,Motor,33,2019,EUR,GMM,Expired
POL39767664,GRP24951,2020-06-27,2021-05-23,Property,11,2020,USD,GMM,Cancelled
POL35282626,GRP17989,2025-04-08,2027-11-24,Life,32,2025,USD,GMM,Active
POL48494172,GRP36460,2023-06-12,2024-08-05,Motor,14,2023,GBP,GMM,Expired
POL51307152,GRP66995,2019-04-17,2021-02-05,Health,22,2019,USD,GMM,Active
POL68702575,GRP51474,2023-01-16,2024-10-07,Life,21,2023,USD,PAA,Cancelled
POL83143015,GRP99403,2025-04-03,2028-02-17,Motor,35,2025,GBP,GMM,Cancelled
POL61607330,GRP80425,2018-06-30,2020-03-21,Property,21,2018,EUR,GMM,Active
POL66168457,GRP33782,2023-09-02,2026-05-19,Property,33,2023,USD,GMM,Active
POL73239453,GRP12710,2024-04-21,2024-12-17,Motor,8,2024,GBP,GMM,Cancelled
POL77726774,GRP39382,2021-07-04,2024-03-20,Health,33,2021,GBP,PAA,Cancelled
POL55419639,GRP49270,2019-06-24,2021-02-13,Life,20,2019,USD,GMM,Cancelled
POL34282829,GRP24718,2022-09-15,2025-07-31,Life,35,2022,GBP,GMM,Cancelled
POL01482041,GRP39335,2022-03-30,2023-11-20,Property,20,2022,GBP,PAA,Expired
POL57386111,GRP93099,2023-09-09,2025-04-01,Health,19,2023,EUR,GMM,Cancelled
POL51556343,GRP93848,2021-06-25,2022-04-21,Health,10,2021,EUR,GMM,Cancelled
POL32493138,GRP80893,2021-03-06,2023-09-22,Motor,31,2021,EUR,PAA,Expired
POL01075834,GRP16637,2018-04-08,2019-09-30,Health,18,2018,GBP,GMM,Cancelled
POL16575625,GRP29729,2019-04-05,2021-04-24,Health,25,2019,USD,GMM,Cancelled
POL49688110,GRP14350,2022-09-08,2025-06-24,Motor,34,2022,EUR,PAA,Expired
POL79524152,GRP64632,2020-01-11,2020-11-06,Life,10,2020,USD,PAA,Cancelled
POL06929767,GRP89729,2022-08-16,2023-10-10,Property,14,2022,EUR,PAA,Cancelled
POL56817308,GRP72922,2018-02-24,2019-09-17,Property,19,2018,EUR,GMM,Active
POL06205334,GRP98111,2018-05-20,2020-03-10,Property,22,2018,GBP,GMM,Cancelled
POL60339042,GRP65385,2018-02-27,2020-04-17,Motor,26,2018,USD,PAA,Active
POL95967559,GRP82416,2023-09-24,2024-08-19,Life,11,2023,GBP,GMM,Cancelled
POL03721772,GRP05302,2020-06-09,2022-06-29,Motor,25,2020,USD,PAA,Cancelled
POL44438291,GRP43221,2018-01-26,2018-10-23,Motor,9,2018,EUR,GMM,Active
POL61681626,GRP29450,2020-05-09,2022-11-25,Health,31,2020,EUR,PAA,Cancelled
POL81461550,GRP98402,2018-02-26,2019-04-22,Health,14,2018,USD,PAA,Active
POL89311707,GRP66532,2019-05-24,2020-01-19,Property,8,2019,USD,GMM,Expired
POL57912580,GRP83496,2020-05-12,2022-05-02,Motor,24,2020,GBP,GMM,Active
POL07238348,GRP17042,2025-03-19,2027-08-06,Health,29,2025,EUR,PAA,Active
POL98170622,GRP40795,2020-05-13,2022-07-02,Health,26,2020,USD,GMM,Active
POL52738306,GRP43904,2018-03-28,2020-05-16,Property,26,2018,GBP,PAA,Cancelled
POL09935385,GRP48870,2019-09-30,2021-08-20,Health,23,2019,EUR,PAA,Cancelled
POL46692955,GRP22490,2024-06-13,2025-07-08,Health,13,2024,USD,GMM,Cancelled
POL32428114,GRP99202,2023-02-20,2025-03-11,Health,25,2023,EUR,PAA,Active
POL96536246,GRP30197,2022-08-26,2024-06-16,Property,22,2022,GBP,PAA,Expired
POL36760704,GRP71432,2021-03-17,2024-03-01,Life,36,2021,USD,PAA,Active
POL11872698,GRP62000,2018-10-16,2020-06-07,Life,20,2018,EUR,GMM,Active
POL21308786,GRP20673,2023-04-14,2026-03-29,Motor,36,2023,GBP,GMM,Cancelled
POL50028312,GRP53889,2024-07-30,2026-04-21,Property,21,2024,EUR,PAA,Expired
POL28958484,GRP52480,2021-11-09,2023-02-02,Property,15,2021,EUR,PAA,Active
POL54561367,GRP81433,2025-06-23,2027-03-15,Health,21,2025,GBP,GMM,Expired
POL65271823,GRP03617,2022-01-03,2024-11-18,Property,35,2022,USD,PAA,Cancelled
POL52981606,GRP21234,2021-07-29,2023-05-20,Property,22,2021,USD,GMM,Active
POL22877314,GRP09007,2021-05-19,2024-02-03,Life,33,2021,GBP,GMM,Expired
POL76890600,GRP37958,2019-02-14,2021-11-30,Life,34,2019,EUR,PAA,Expired
POL90761441,GRP42083,2021-11-22,2022-07-20,Motor,8,2021,USD,GMM,Active
POL43295023,GRP11964,2018-05-15,2019-06-09,Property,13,2018,GBP,PAA,Expired
POL78252247,GRP35000,2019-08-17,2021-02-07,Motor,18,2019,EUR,PAA,Active
POL09327570,GRP67161,2025-10-17,2028-05-04,Motor,31,2025,USD,PAA,Active
POL15078877,GRP24158,2020-07-03,2023-06-18,Life,36,2020,EUR,GMM,Expired
POL44869023,GRP49022,2018-08-28,2021-08-12,Motor,36,2018,EUR,PAA,Expired
POL86399496,GRP48986,2025-05-14,2027-01-04,Motor,20,2025,USD,GMM,Active
POL97347536,GRP43645,2019-09-28,2022-08-13,Motor,35,2019,GBP,PAA,Expired
POL95611153,GRP83480,2025-04-09,2027-09-26,Health,30,2025,USD,PAA,Cancelled
POL08977707,GRP90562,2020-05-25,2022-04-15,Motor,23,2020,GBP,PAA,Active
POL21810354,GRP29900,2021-03-30,2023-03-20,Property,24,2021,EUR,PAA,Cancelled
POL04213301,GRP09707,2023-03-29,2025-02-16,Motor,23,2023,EUR,GMM,Active
POL67230599,GRP69932,2023-11-09,2025-02-01,Life,15,2023,USD,PAA,Cancelled
POL54204723,GRP05862,2018-05-17,2018-12-13,Health,7,2018,EUR,PAA,Active
POL82616159,GRP55443,2019-03-09,2021-02-26,Life,24,2019,USD,GMM,Active
POL90043783,GRP67008,2022-08-29,2024-01-21,Property,17,2022,EUR,PAA,Active
POL01295538,GRP77250,2019-10-31,2022-01-18,Property,27,2019,EUR,PAA,Cancelled
POL27574500,GRP26271,2019-08-01,2021-07-21,Motor,24,2019,GBP,PAA,Cancelled
POL70575714,GRP69614,2022-06-17,2023-04-13,Health,10,2022,GBP,GMM,Active
POL54985250,GRP17783,2018-11-10,2021-02-27,Motor,28,2018,USD,GMM,Active
POL77304449,GRP03395,2022-08-23,2024-12-10,Life,28,2022,GBP,PAA,Active
POL90924642,GRP11326,2024-02-26,2025-10-18,Property,20,2024,GBP,PAA,Expired
POL80394283,GRP49263,2022-10-19,2024-05-11,Property,19,2022,EUR,PAA,Active
POL82944875,GRP49134,2024-01-22,2026-08-09,Motor,31,2024,USD,GMM,Expired
POL97522438,GRP54048,2021-10-12,2023-02-04,Property,16,2021,EUR,PAA,Expired
POL39835896,GRP39640,2018-11-13,2020-03-07,Property,16,2018,EUR,PAA,Expired
POL52077509,GRP29257,2022-01-21,2023-05-16,Health,16,2022,EUR,GMM,Active
POL74967125,GRP03159,2018-09-27,2019-09-22,Motor,12,2018,GBP,GMM,Cancelled
POL50932465,GRP47880,2018-06-02,2020-02-22,Life,21,2018,USD,GMM,Active
POL60676064,GRP43669,2018-11-17,2020-11-06,Life,24,2018,EUR,PAA,Expired
POL03231465,GRP98539,2020-09-09,2022-06-01,Life,21,2020,EUR,GMM,Expired
POL98370335,GRP07684,2022-04-04,2025-01-18,Property,34,2022,USD,PAA,Expired
POL74887144,GRP36172,2020-07-12,2022-07-02,Life,24,2020,GBP,PAA,Active
POL95908030,GRP59556,2025-03-30,2026-09-21,Health,18,2025,EUR,PAA,Expired
POL21181173,GRP69388,2025-03-12,2028-01-26,Life,35,2025,USD,GMM,Active
POL43322164,GRP74489,2021-06-18,2023-12-05,Life,30,2021,EUR,GMM,Expired
POL48232302,GRP68809,2020-03-26,2022-06-14,Property,27,2020,EUR,GMM,Cancelled
POL98420904,GRP88854,2018-07-04,2019-07-29,Health,13,2018,GBP,GMM,Cancelled
POL67437516,GRP50350,2018-11-19,2020-02-12,Property,15,2018,USD,GMM,Expired
POL53032160,GRP62135,2022-06-09,2024-01-30,Property,20,2022,USD,PAA,Expired
POL95931489,GRP52412,2023-03-05,2024-05-28,Health,15,2023,USD,GMM,Expired
POL61583223,GRP62848,2021-02-17,2021-09-15,Health,7,2021,GBP,GMM,Expired
POL62085366,GRP41004,2018-06-17,2019-09-10,Health,15,2018,USD,GMM,Cancelled
POL68202513,GRP11366,2022-06-04,2024-03-25,Life,22,2022,GBP,PAA,Active
POL19996673,GRP72783,2021-03-14,2022-03-09,Health,12,2021,EUR,PAA,Expired
POL14359568,GRP11600,2023-02-22,2024-07-16,Motor,17,2023,EUR,PAA,Expired
POL33011968,GRP68540,2023-01-20,2025-06-08,Property,29,2023,GBP,PAA,Cancelled
POL13036730,GRP14338,2023-07-05,2024-03-31,Motor,9,2023,EUR,PAA,Cancelled
POL00499244,GRP71191,2020-04-30,2021-02-24,Life,10,2020,EUR,PAA,Cancelled
POL82608342,GRP09366,2024-06-13,2025-12-05,Health,18,2024,EUR,GMM,Expired
POL51181161,GRP20960,2021-10-30,2024-06-16,Property,32,2021,EUR,PAA,Expired
POL11457612,GRP24160,2021-09-09,2023-09-29,Property,25,2021,USD,PAA,Cancelled
POL36494523,GRP56549,2023-05-09,2024-06-02,Health,13,2023,USD,PAA,Cancelled
POL82737103,GRP87128,2018-11-28,2019-06-26,Life,7,2018,USD,GMM,Expired
POL00998669,GRP84328,2021-12-12,2022-11-07,Motor,11,2021,GBP,GMM,Cancelled
POL52301121,GRP72849,2024-08-26,2025-06-22,Property,10,2024,EUR,GMM,Cancelled
POL58026845,GRP31911,2022-02-17,2024-09-04,Motor,31,2022,EUR,GMM,Cancelled
POL88132753,GRP92879,2022-11-15,2025-08-31,Life,34,2022,GBP,PAA,Cancelled
POL71421009,GRP96903,2023-06-05,2024-09-27,Life,16,2023,GBP,PAA,Expired
POL21312064,GRP19283,2020-07-10,2022-01-01,Motor,18,2020,USD,GMM,Active
POL80397886,GRP09031,2021-07-23,2023-10-11,Life,27,2021,EUR,GMM,Active
POL27976656,GRP96916,2025-06-17,2026-08-11,Motor,14,2025,USD,GMM,Expired
POL37922510,GRP35148,2024-05-03,2026-08-21,Life,28,2024,USD,PAA,Cancelled
POL83485641,GRP52948,2018-10-09,2019-05-07,Property,7,2018,USD,PAA,Active
POL32754716,GRP22658,2020-09-26,2022-08-17,Life,23,2020,USD,PAA,Active
POL57513016,GRP39860,2018-02-04,2020-05-24,Motor,28,2018,USD,GMM,Active
POL42804833,GRP46475,2019-01-07,2021-01-26,Health,25,2019,EUR,GMM,Cancelled
POL49805904,GRP36379,2025-12-06,2027-03-01,Life,15,2025,USD,GMM,Active
POL43289289,GRP19131,2021-04-26,2024-01-11,Life,33,2021,USD,PAA,Expired
POL33747072,GRP37304,2023-07-11,2024-05-06,Property,10,2023,EUR,GMM,Expired
POL69653605,GRP12710,2024-05-12,2026-05-02,Life,24,2024,EUR,GMM,Cancelled
POL70181036,GRP34909,2019-09-02,2022-05-19,Health,33,2019,USD,GMM,Cancelled
POL11342643,GRP82282,2023-11-16,2025-08-07,Property,21,2023,GBP,GMM,Cancelled
POL83621242,GRP06300,2022-11-28,2025-03-17,Motor,28,2022,USD,GMM,Active
POL34443640,GRP86413,2018-10-31,2019-07-28,Health,9,2018,GBP,PAA,Active
POL76150642,GRP63358,2019-09-05,2020-06-01,Motor,9,2019,GBP,PAA,Active
POL14897866,GRP18759,2022-12-18,2023-07-16,Property,7,2022,EUR,PAA,Active
