curve_id,maturity_months,discount_rate,as_of_date
CURVE_2,78,0.05,2025-02-22
CURVE_2,84,0.02,2025-02-22
CURVE_2,90,0.03,2025-02-22
CURVE_2,96,0.05,2025-02-22
CURVE_2,102,0.01,2025-02-22
CURVE_2,108,0.05,2025-02-22
CURVE_2,114,0.05,2025-02-22
CURVE_2,120,0.06,2025-02-22
CURVE_3,6,0.04,2020-07-19
CURVE_3,12,0.06,2020-07-19
CURVE_3,18,0.02,2020-07-19
CURVE_3,24,0.04,2020-07-19
CURVE_3,30,0.02,2020-07-19
CURVE_3,36,0.06,2020-07-19
CURVE_3,42,0.05,2020-07-19
CURVE_3,48,0.05,2020-07-19
CURVE_3,54,0.02,2020-07-19
CURVE_3,60,0.05,2020-07-19
CURVE_3,66,0.06,2020-07-19
CURVE_3,72,0.03,2020-07-19
CURVE_3,78,0.02,2020-07-19
CURVE_3,84,0.04,2020-07-19
CURVE_3,90,0.06,2020-07-19
CURVE_3,96,0.05,2020-07-19
CURVE_3,102,0.06,2020-07-19
CURVE_3,108,0.05,2020-07-19
CURVE_3,114,0.02,2020-07-19
CURVE_3,120,0.03,2020-07-19
CURVE_4,6,0.03,2022-11-10
CURVE_4,12,0.05,2022-11-10
CURVE_4,18,0.05,2022-11-10
CURVE_4,24,0.07,2022-11-10
CURVE_4,30,0.06,2022-11-10
CURVE_4,36,0.02,2022-11-10
CURVE_4,42,0.02,2022-11-10
CURVE_4,48,0.06,2022-11-10
CURVE_4,54,0.04,2022-11-10
CURVE_4,60,0.04,2022-11-10
CURVE_4,66,0.03,2022-11-10
CURVE_4,72,0.05,2022-11-10
CURVE_4,78,0.02,2022-11-10
CURVE_4,84,0.04,2022-11-10
CURVE_4,90,0.05,2022-11-10
CURVE_4,96,0.06,2022-11-10
CURVE_4,102,0.04,2022-11-10
CURVE_4,108,0.04,2022-11-10
CURVE_4,114,0.04,2022-11-10
CURVE_4,120,0.07,2022-11-10
CURVE_5,6,0.01,2021-06-17
CURVE_5,12,0.02,2021-06-17
CURVE_5,18,0.06,2021-06-17
CURVE_5,24,0.03,2021-06-17
CURVE_5,30,0.04,2021-06-17
CURVE_5,36,0.03,2021-06-17
CURVE_5,42,0.04,2021-06-17
CURVE_5,48,0.06,2021-06-17
CURVE_5,54,0.04,2021-06-17
CURVE_5,60,0.07,2021-06-17
CURVE_5,66,0.03,2021-06-17
CURVE_5,72,0.03,2021-06-17
CURVE_5,78,0.06,2021-06-17
CURVE_5,84,0.01,2021-06-17
CURVE_5,90,0.06,2021-06-17
CURVE_5,96,0.04,2021-06-17
CURVE_5,102,0.05,2021-06-17
CURVE_5,108,0.06,2021-06-17
CURVE_5,114,0.06,2021-06-17
CURVE_5,120,0.05,2021-06-17
CURVE_6,6,0.05,2018-10-26
CURVE_6,12,0.07,2018-10-26
CURVE_6,18,0.07,2018-10-26
CURVE_6,24,0.06,2018-10-26
CURVE_6,30,0.06,2018-10-26
CURVE_6,36,0.06,2018-10-26
CURVE_6,42,0.06,2018-10-26
CURVE_6,48,0.06,2018-10-26
CURVE_6,54,0.04,2018-10-26
CURVE_6,60,0.06,2018-10-26
CURVE_6,66,0.04,2018-10-26
CURVE_6,72,0.04,2018-10-26
CURVE_6,78,0.01,2018-10-26
CURVE_6,84,0.03,2018-10-26
CURVE_6,90,0.06,2018-10-26
CURVE_6,96,0.01,2018-10-26
CURVE_6,102,0.02,2018-10-26
CURVE_6,108,0.05,2018-10-26
CURVE_6,114,0.05,2018-10-26
CURVE_6,120,0.06,2018-10-26
CURVE_7,6,0.06,2025-09-16
CURVE_7,12,0.05,2025-09-16
CURVE_7,18,0.05,2025-09-16
CURVE_7,24,0.03,2025-09-16
CURVE_7,30,0.03,2025-09-16
CURVE_7,36,0.03,2025-09-16
CURVE_7,42,0.04,2025-09-16
CURVE_7,48,0.05,2025-09-16
CURVE_7,54,0.03,2025-09-16
CURVE_7,60,0.02,2025-09-16
CURVE_7,66,0.04,2025-09-16
CURVE_7,72,0.03,2025-09-16
CURVE_7,78,0.03,2025-09-16
CURVE_7,84,0.03,2025-09-16
CURVE_7,90,0.05,2025-09-16
CURVE_7,96,0.02,2025-09-16
CURVE_7,102,0.06,2025-09-16
CURVE_7,108,0.06,2025-09-16
CURVE_7,114,0.04,2025-09-16
CURVE_7,120,0.04,2025-09-16
CURVE_8,6,0.01,2020-01-11
CURVE_8,12,0.03,2020-01-11
CURVE_8,18,0.05,2020-01-11
CURVE_8,24,0.03,2020-01-11
CURVE_8,30,0.04,2020-01-11
CURVE_8,36,0.03,2020-01-11
CURVE_8,42,0.05,2020-01-11
CURVE_8,48,0.05,2020-01-11
CURVE_8,54,0.03,2020-01-11
CURVE_8,60,0.04,2020-01-11
CURVE_8,66,0.05,2020-01-11
CURVE_8,72,0.03,2020-01-11
CURVE_8,78,0.05,2020-01-11
CURVE_8,84,0.04,2020-01-11
CURVE_8,90,0.02,2020-01-11
CURVE_8,96,0.03,2020-01-11
CURVE_8,102,0.06,2020-01-11
CURVE_8,108,0.04,2020-01-11
CURVE_8,114,0.07,2020-01-11
CURVE_8,120,0.04,2020-01-11
CURVE_9,6,0.07,2022-05-29
CURVE_9,12,0.01,2022-05-29
CURVE_9,18,0.03,2022-05-29
CURVE_9,24,0.03,2022-05-29
CURVE_9,30,0.02,2022-05-29
CURVE_9,36,0.03,2022-05-29
CURVE_9,42,0.05,2022-05-29
CURVE_9,48,0.07,2022-05-29
CURVE_9,54,0.06,2022-05-29
CURVE_9,60,0.03,2022-05-29
CURVE_9,66,0.06,2022-05-29
CURVE_9,72,0.02,2022-05-29
CURVE_9,78,0.03,2022-05-29
CURVE_9,84,0.05,2022-05-29
CURVE_9,90,0.07,2022-05-29
CURVE_9,96,0.04,2022-05-29
CURVE_9,102,0.01,2022-05-29
CURVE_9,108,0.06,2022-05-29
CURVE_9,114,0.06,2022-05-29
CURVE_9,120,0.02,2022-05-29
CURVE_10,6,0.01,2020-09-15
CURVE_10,12,0.05,2020-09-15
CURVE_10,18,0.03,2020-09-15
CURVE_10,24,0.07,2020-09-15
CURVE_10,30,0.07,2020-09-15
CURVE_10,36,0.04,2020-09-15
CURVE_10,42,0.04,2020-09-15
CURVE_10,48,0.02,2020-09-15
CURVE_10,54,0.05,2020-09-15
CURVE_10,60,0.02,2020-09-15
CURVE_10,66,0.06,2020-09-15
CURVE_10,72,0.02,2020-09-15
CURVE_10,78,0.01,2020-09-15
CURVE_10,84,0.01,2020-09-15
CURVE_10,90,0.07,2020-09-15
CURVE_10,96,0.05,2020-09-15
CURVE_10,102,0.06,2020-09-15
CURVE_10,108,0.06,2020-09-15
CURVE_10,114,0.05,2020-09-15
CURVE_10,120,0.02,2020-09-15
CURVE_11,6,0.03,2019-01-14
CURVE_11,12,0.04,2019-01-14
CURVE_11,18,0.06,2019-01-14
CURVE_11,24,0.06,2019-01-14
CURVE_11,30,0.07,2019-01-14
CURVE_11,36,0.04,2019-01-14
CURVE_11,42,0.06,2019-01-14
CURVE_11,48,0.04,2019-01-14
CURVE_11,54,0.01,2019-01-14
CURVE_11,60,0.04,2019-01-14
CURVE_11,66,0.02,2019-01-14
CURVE_11,72,0.03,2019-01-14
CURVE_11,78,0.03,2019-01-14
CURVE_11,84,0.06,2019-01-14
CURVE_11,90,0.06,2019-01-14
CURVE_11,96,0.04,2019-01-14
CURVE_11,102,0.05,2019-01-14
CURVE_11,108,0.02,2019-01-14
CURVE_11,114,0.01,2019-01-14
CURVE_11,120,0.02,2019-01-14
CURVE_12,6,0.06,2020-01-28
CURVE_12,12,0.03,2020-01-28
CURVE_12,18,0.05,2020-01-28
CURVE_12,24,0.06,2020-01-28
CURVE_12,30,0.02,2020-01-28
CURVE_12,36,0.05,2020-01-28
CURVE_12,42,0.02,2020-01-28
CURVE_12,48,0.04,2020-01-28
CURVE_12,54,0.07,2020-01-28
CURVE_12,60,0.05,2020-01-28
CURVE_12,66,0.05,2020-01-28
CURVE_12,72,0.01,2020-01-28
CURVE_12,78,0.01,2020-01-28
CURVE_12,84,0.04,2020-01-28
CURVE_12,90,0.04,2020-01-28
CURVE_12,96,0.02,2020-01-28
CURVE_12,102,0.06,2020-01-28
CURVE_12,108,0.04,2020-01-28
CURVE_12,114,0.05,2020-01-28
CURVE_12,120,0.06,2020-01-28
CURVE_13,6,0.07,2019-08-09
CURVE_13,12,0.03,2019-08-09
CURVE_13,18,0.03,2019-08-09
CURVE_13,24,0.03,2019-08-09
CURVE_13,30,0.03,2019-08-09
CURVE_13,36,0.01,2019-08-09
CURVE_13,42,0.06,2019-08-09
CURVE_13,48,0.03,2019-08-09
CURVE_13,54,0.06,2019-08-09
CURVE_13,60,0.02,2019-08-09
CURVE_13,66,0.01,2019-08-09
CURVE_13,72,0.02,2019-08-09
CURVE_13,78,0.04,2019-08-09
CURVE_13,84,0.06,2019-08-09
CURVE_13,90,0.04,2019-08-09
CURVE_13,96,0.04,2019-08-09
CURVE_13,102,0.03,2019-08-09
CURVE_13,108,0.06,2019-08-09
CURVE_13,114,0.05,2019-08-09
CURVE_13,120,0.07,2019-08-09
CURVE_14,6,0.06,2025-06-11
CURVE_14,12,0.05,2025-06-11
CURVE_14,18,0.03,2025-06-11
CURVE_14,24,0.05,2025-06-11
CURVE_14,30,0.04,2025-06-11
CURVE_14,36,0.05,2025-06-11
CURVE_14,42,0.01,2025-06-11
CURVE_14,48,0.02,2025-06-11
CURVE_14,54,0.07,2025-06-11
CURVE_14,60,0.04,2025-06-11
CURVE_14,66,0.04,2025-06-11
CURVE_14,72,0.02,2025-06-11
CURVE_14,78,0.04,2025-06-11
CURVE_14,84,0.04,2025-06-11
CURVE_14,90,0.07,2025-06-11
CURVE_14,96,0.06,2025-06-11
CURVE_14,102,0.02,2025-06-11
CURVE_14,108,0.03,2025-06-11
CURVE_14,114,0.06,2025-06-11
CURVE_14,120,0.07,2025-06-11
