policy_group_id,period,csm_opening,csm_accretion,csm_release,csm_closing,risk_adjustment,loss_component,coverage_units,service_expense,insurance_revenue,reinsurance_asset_change
GRP61200,2020-08-18,403060.34,563.7,8046.67,395577.37000000005,7019.41,1385.35,63,6669.66,23628.55,3162.16
GRP24912,2018-08-17,456571.39,3171.56,2068.67,457674.28,2580.61,1000.61,61,3464.06,25878.96,-2909.38
GRP95669,2024-11-05,463035.59,2693.56,8936.43,456792.72000000003,9117.38,945.32,71,4728.84,7810.98,-1244.52
GRP24158,2022-07-04,292787.11,2980.76,9823.22,285944.65,6367.99,1025.82,10,2813.51,23124.02,-4661.47
GRP24287,2020-01-02,209309.25,246.68,6577.83,202978.1,7260.55,1904.52,88,1967.18,29632.7,-3025.39
GRP96221,2021-04-05,86948.89,242.83,2643.76,84547.96,4175.1,1898.42,56,1445.93,24423.39,-2298.31
GRP10092,2020-11-15,41630.57,3180.28,2114.92,42695.93,7094.65,1381.3,39,2750.22,24217.8,-4457.81
GRP34161,2021-02-23,52852.72,277.81,9044.51,44086.02,4909.87,268.13,20,7853.16,18269.71,-1462.28
GRP60070,2020-01-26,452793.07,4558.62,9711.2,447640.49,7865.72,90.44,64,4742.83,9762.33,2610.48
GRP05263,2019-11-08,60701.43,1429.22,2726.99,59403.66,7757.03,997.34,33,1424.08,8349.14,1363.58
GRP03136,2024-09-29,435975.26,3050.3,7891.14,431134.42,1812.58,1563.28,26,8978.67,23485.75,-4621.7
GRP46096,2024-11-05,326825.12,3071.11,7954.21,321942.01999999996,1118.15,478.46,13,8563.83,18554.52,-1792.21
GRP36510,2024-10-19,487099.56,1744.43,6068.55,482775.44,9977.98,342.11,52,3329.07,28548.95,3745.61
GRP90772,2023-04-09,266307.65,3756.93,4430.21,265634.37,6888.15,1423.53,100,4529.12,16229.74,57.56
GRP77160,2022-03-05,478575.27,4057.39,6822.99,475809.67000000004,4756.13,1438.16,10,8939.52,26444.45,496.35
GRP36927,2025-11-28,144891.23,454.49,2315.15,143030.57,6251.15,290.26,96,8239.71,10564.44,1850.38
GRP31060,2025-06-21,53978.73,1563.66,6718.29,48824.100000000006,2669.15,1223.58,95,4649.01,8360.53,2745.55
GRP30067,2020-03-06,263943.21,262.81,3271.19,260934.83000000002,4096.51,895.71,64,8745.38,22361.74,-2613.03
GRP83012,2023-10-13,220610.84,3357.19,6338.57,217629.46,3711.77,1057.17,85,2748.67,21458.77,3732.15
GRP14350,2023-04-14,373473.6,4517.18,5846.21,372144.56999999995,1078.25,76.75,80,4755.34,16459.74,-610.55
GRP90864,2020-01-22,364379.67,2571.79,5115.27,361836.18999999994,9869.16,951.78,88,7958.44,8256.03,-3938.96
GRP62442,2020-02-02,295080.22,311.15,6356.59,289034.77999999997,4713.26,1772.47,75,3951.9,7573.57,726.01
GRP76733,2021-12-07,260833.85,885.69,1804.88,259914.66,5236.06,398.14,57,7097.68,5526.99,3233.42
GRP44609,2025-03-09,307427.3,3714.52,4084.1,307057.72000000003,4389.71,1668.57,95,8102.74,5157.7,-2387.92
GRP87211,2025-11-14,239900.56,887.9,2487.47,238300.99,4270.51,61.56,69,5797.37,28706.87,3219.2
GRP06500,2019-12-31,461818.32,1217.12,2389.69,460645.75,8771.44,1240.54,38,6003.68,6334.81,2670.82
GRP93002,2019-04-09,395067.64,3432.66,7937.02,390563.27999999997,4969.36,339.33,4,4600.15,9008.28,-1476.03
GRP53358,2019-09-24,83880.72,4963.83,3697.72,85146.83,9795.4,1782.78,86,8339.59,21260.5,2938.45
GRP10487,2018-04-03,296720.56,2250.31,4395.34,294575.52999999997,1250.1,821.16,70,6551.68,18378.79,-1327.49
GRP05849,2025-03-09,12447.5,1932.23,1999.85,12379.88,7664.24,856.81,25,1524.18,27734.67,-2938.67
GRP89903,2023-06-17,201426.75,2974.45,7462.41,196938.79,8113.49,477.35,54,2688.42,23949.18,-2282.27
GRP89467,2024-04-17,408178.5,4555.51,6074.27,406659.74,1536.01,1484.67,74,4545.84,6939.31,-25.17
GRP34052,2022-01-06,93416.19,4833.99,4828.24,93421.94,8435.69,643.14,6,5180.56,11096.04,-496.56
GRP29546,2020-05-22,267810.04,4838.52,7398.06,265250.5,8702.53,690.92,62,9253.52,23434.01,-2142.65
GRP07927,2024-01-26,69743.51,3386.41,8229.47,64900.45,2721.53,1072.25,72,5950.79,14234.07,370.9
GRP46566,2018-05-05,399632.91,2395.34,733.47,401294.78,4760.62,656.6,55,1018.9,23190.73,-1635.14
GRP28655,2024-01-15,294188.98,1112.69,2623.34,292678.32999999996,7834.81,1748.69,51,9895.01,23922.97,-4086.97
GRP76836,2022-12-27,230022.73,2447.4,4574.63,227895.5,1633.21,102.24,13,9116.18,9833.31,3945.02
GRP73402,2020-01-08,359037.26,1757.67,1272.46,359522.47,8449.79,163.42,83,5531.56,29828.56,-434.05
GRP25751,2023-10-02,203568.49,664.27,5241.54,198991.21999999997,5683.94,659.34,11,7935.69,16710.12,-779.9
GRP90884,2024-09-09,215873.21,356.46,6719.15,209510.52,2648.56,1698.23,19,8100.37,11894.18,-2892.5
GRP30247,2025-09-06,113266.34,1644.33,9372.36,105538.31,7250.13,274.39,6,5595.15,25089.12,2106.51
GRP90154,2024-09-19,344742.53,4553.55,1789.81,347506.27,3219.18,659.87,58,1522.44,21554.97,-322.78
GRP96194,2021-03-03,308296.77,1966.95,4413.75,305849.97000000003,5791.45,216.38,12,9095.62,26748.25,3036.42
GRP37522,2021-01-25,290362.85,1766.61,7292.08,284837.37999999995,4658.09,1258.11,46,3054.28,21683.12,-3089.52
GRP05719,2020-01-22,163263.98,790.09,9848.11,154205.96000000002,8305.01,173.66,39,1758.88,23506.47,-2864.61
GRP28363,2025-05-22,221806.58,4362.2,8193.57,217975.21,8138.42,1589.04,54,1827.41,26056.76,3593.86
GRP91845,2021-10-24,126353.05,560.38,6575.15,120338.28000000001,3424.38,1149.15,98,2609.48,12575.19,941.87
GRP99254,2020-11-01,297988.16,3388.72,2694.05,298682.82999999996,3209.84,1039.41,33,1832.53,16500.29,1653.5
GRP33738,2018-09-01,200411.75,1332.42,569.38,201174.79,3297.64,1481.59,29,8119.15,12345.85,-2387.88
GRP47621,2018-03-09,31580.92,1737.68,4877.11,28441.489999999998,4911.12,1580.69,37,8704.82,26515.51,-4703.53
GRP26571,2018-02-08,393113.21,4170.37,1957.46,395326.12,5030.47,639.54,15,9977.05,14784.58,1333.31
GRP76633,2022-09-15,213166.1,4926.78,4631.22,213461.66,3567.13,346.11,95,6301.25,24842.88,-4618.83
GRP64001,2021-11-05,93121.35,4798.71,9424.23,88495.83000000002,4773.24,992.91,67,5772.77,17618.03,2604.35
GRP29795,2024-03-25,375865.68,4900.25,3375.9,377390.02999999997,6059.5,351.79,100,9092.64,11027.88,1369.36
GRP72737,2018-01-08,196106.78,3929.05,7240.61,192795.22,2939.94,1819.41,86,3036.16,25407.31,-4285.69
GRP37089,2021-09-20,70426.29,3836.57,7790.22,66472.64,2231.95,768.94,10,6786.33,5299.71,2325.53
GRP09782,2019-07-30,277366.47,1767.2,2389.19,276744.48,3806.17,1946.68,97,6973.34,22267.86,-2683.69
GRP72737,2021-03-25,365610.7,1352.51,1128.21,365835.0,8772.82,3.1,27,7819.81,8127.42,-1000.35
GRP50603,2021-12-05,492317.23,4800.99,9517.65,487600.56999999995,3800.68,1172.51,51,8172.5,15836.01,-814.2
GRP01569,2018-10-18,71026.56,2481.92,9746.56,63761.92,3714.52,773.43,90,9163.16,25197.94,-4347.18
GRP11021,2023-04-09,468761.78,1359.15,2145.56,467975.37000000005,8905.66,155.47,83,8440.39,28767.87,-4713.74
GRP26105,2018-09-17,489866.63,4077.56,8785.42,485158.77,7945.8,855.21,79,9477.62,28773.22,2440.57
GRP44415,2023-06-28,69461.37,3180.32,4701.75,67939.94,8974.93,1150.49,27,9647.06,5949.46,3939.11
GRP49970,2023-12-30,499858.53,3370.12,597.39,502631.26,6012.74,918.58,32,5701.22,28472.89,-3897.32
GRP64464,2025-10-26,37524.98,2912.33,6410.26,34027.05,7867.39,909.64,10,6821.65,15163.21,-141.24
GRP96113,2022-05-07,398161.26,3539.38,1346.46,400354.18,6582.9,1821.5,12,1959.13,21848.52,-508.71
GRP58560,2023-03-05,248086.79,390.59,932.37,247545.01,8798.35,1119.0,40,6186.13,5212.32,-4018.33
GRP11159,2025-01-02,238683.55,285.35,6576.16,232392.74,8372.83,1080.53,17,1116.39,14286.51,2561.61
GRP37234,2021-01-26,302215.61,2422.04,3124.33,301513.31999999995,1125.11,1593.04,66,3899.35,12876.13,4304.39
GRP98613,2022-04-14,193749.99,2682.0,4197.41,192234.58,1248.72,381.23,83,3240.16,23269.47,4153.51
GRP62848,2022-12-18,233042.58,4532.8,1226.64,236348.73999999996,7919.93,862.48,25,2071.21,23603.79,2567.67
GRP66855,2018-08-15,77373.93,3671.67,9411.78,71633.81999999999,5314.0,793.27,42,2375.16,6640.27,-2034.44
GRP55137,2019-08-05,149228.7,4443.6,3005.85,150666.45,8069.56,632.23,15,1104.0,9008.87,2071.38
GRP79323,2022-07-09,213534.98,2383.96,1833.65,214085.29,5606.75,1914.35,95,3023.6,24938.64,-2193.14
GRP55452,2020-05-06,418745.15,1562.05,3278.9,417028.3,1549.66,518.78,28,1972.22,26616.09,-369.63
GRP89278,2020-10-24,231293.32,2175.53,4074.74,229394.11000000002,3908.88,1376.76,81,7918.84,5211.24,219.3
GRP19214,2020-08-20,176032.08,1552.75,9182.47,168402.36,9081.52,1474.39,27,5846.0,27396.48,-3128.46
GRP82780,2025-12-02,305203.46,4479.64,751.52,308931.58,3002.05,7.53,86,3450.13,29601.92,-3292.05
GRP72734,2022-03-11,264881.33,3111.63,9208.29,258784.67,3030.94,1912.05,71,2640.16,22636.02,3729.39
GRP81462,2024-05-18,84535.93,1162.61,2273.36,83425.18,2804.81,540.63,8,9735.45,18167.84,-2045.48
GRP71751,2020-09-22,34182.82,1592.78,3943.11,31832.489999999998,1219.74,1351.85,74,1403.14,24601.53,37.26
GRP18993,2025-12-26,389964.32,3188.0,6900.68,386251.64,3942.07,611.13,33,6153.77,12028.02,-2588.58
GRP40135,2022-12-12,168077.35,1591.69,6146.1,163522.94,7456.38,1439.84,62,3070.35,11398.35,-3856.68
GRP24493,2021-02-06,43344.12,1311.22,3872.72,40782.62,6154.01,1111.89,60,6486.33,6094.0,-647.95
GRP96322,2021-02-07,48211.74,2426.37,9560.16,41077.95,6548.32,435.01,50,4991.03,9623.28,2318.13
GRP11035,2019-08-28,343903.81,441.81,6166.45,338179.17,1174.71,1033.88,19,7358.35,7216.82,-1553.91
GRP93751,2025-02-24,402843.62,4579.78,3337.66,404085.74000000005,1456.56,1501.65,89,7980.64,5118.45,3903.25
GRP94068,2022-07-24,179111.36,479.98,3225.02,176366.32,3293.87,643.41,6,1882.17,11840.92,422.03
GRP22398,2021-12-27,415797.25,1639.45,7818.95,409617.75,7792.66,180.18,14,9928.11,20573.68,-1966.3
GRP61032,2021-05-11,130193.86,3752.02,3233.98,130711.90000000001,3342.89,41.59,34,9767.01,22884.2,-4634.93
GRP10362,2019-04-17,107617.94,809.35,6390.18,102037.11000000002,1979.69,932.51,50,2717.65,25221.06,214.79
GRP51518,2018-12-22,181757.18,2833.42,2966.3,181624.30000000002,6436.72,148.49,43,3394.58,24585.13,4744.81
GRP77892,2019-10-19,373390.31,3226.37,5831.06,370785.62,8434.07,3.39,70,9998.75,19669.22,-598.8
GRP96641,2024-08-28,268288.7,114.5,7082.27,261320.93000000002,2882.48,202.28,37,9322.12,7325.56,3702.89
GRP92869,2021-08-12,200690.99,982.76,7607.8,194065.95,8073.01,22.41,92,1065.01,29679.38,-3517.97
GRP11366,2023-11-01,339613.23,4325.28,1270.74,342667.77,7892.57,1879.48,15,9441.83,12634.52,1530.61
GRP02099,2025-01-22,43699.74,1299.41,8315.75,36683.4,5932.78,988.36,61,4607.7,12618.2,-3094.87
GRP65159,2022-12-30,189442.45,3757.59,9707.59,183492.45,7612.43,1878.7,20,7242.8,17262.38,-117.42
GRP19221,2024-11-19,151902.98,3139.99,4169.14,150873.83,5976.01,413.09,85,7500.64,21885.11,-4878.47
GRP42026,2023-07-23,260735.97,213.6,4876.98,256072.59,7232.04,1800.64,97,4172.99,5554.18,-3444.11
GRP81712,2020-11-04,399487.91,2591.47,4390.1,397689.27999999997,8333.75,96.05,99,9593.42,18988.17,1122.95
GRP06672,2020-11-11,350075.34,4290.15,2671.86,351693.63000000006,8676.52,589.13,28,3382.36,6791.86,280.88
GRP31743,2024-06-26,178708.83,2950.8,4651.68,177007.94999999998,4177.75,1730.55,46,7382.28,12528.03,4434.67
GRP85788,2024-03-09,337580.51,1909.31,1988.93,337500.89,6830.91,13.1,74,7798.81,18605.05,3041.63
GRP82744,2018-01-13,344089.71,4903.0,5365.79,343626.92000000004,6686.38,1575.9,81,2799.55,28181.87,-3515.87
GRP49939,2025-11-10,111799.61,3128.77,4373.28,110555.1,7780.89,528.49,5,8535.78,6915.44,-3924.67
GRP64133,2024-01-23,92271.42,4727.7,4898.83,92100.29,9451.25,82.34,36,8444.23,5099.18,-2429.74
GRP42725,2019-01-14,330052.0,4071.17,956.24,333166.93,7001.57,1877.76,44,3140.48,9533.36,-4044.81
GRP21910,2023-01-04,335817.25,4260.67,2220.73,337857.19,8799.26,1822.5,54,8311.3,25014.34,4309.4
GRP17628,2018-04-15,219597.07,105.18,4126.93,215575.32,6503.15,1095.93,30,9028.35,17084.98,-1549.53
GRP83416,2021-04-08,156633.36,2992.19,2412.59,157212.96,7327.44,1115.61,14,1346.21,9887.78,-3525.4
GRP87579,2018-09-14,245789.92,2497.05,6983.23,241303.74,3148.57,654.46,1,5506.14,18207.92,4491.0
GRP88301,2019-10-22,463246.89,2651.97,1577.63,464321.23,4385.4,141.85,72,2526.86,11091.12,-3520.29
GRP84455,2022-11-29,401759.21,2361.32,9896.41,394224.12000000005,9366.06,787.86,16,9337.97,6563.13,-543.36
GRP53358,2020-05-10,23270.24,4702.84,5616.06,22357.02,5147.43,473.03,12,1590.08,23605.28,1851.43
GRP66543,2025-10-03,37304.91,764.73,2392.71,35676.93000000001,1493.23,549.62,32,6716.53,29214.0,4375.27
GRP20362,2021-11-17,146702.31,1511.15,1026.89,147186.56999999998,6095.38,1512.89,13,9504.28,11907.01,-418.93
GRP79750,2021-12-23,199675.34,3062.04,4023.02,198714.36000000002,7011.1,639.53,89,9884.94,13893.1,2596.61
GRP07999,2022-06-04,388353.42,3895.36,8799.23,383449.55,9185.74,460.65,94,7522.89,9535.85,-3056.38
GRP40939,2018-06-11,490445.09,1596.62,5276.61,486765.10000000003,2466.29,1812.28,14,7161.76,24550.01,-4213.35
GRP29221,2019-01-02,339965.22,2976.68,9841.15,333100.74999999994,8990.8,1995.59,39,5229.08,25703.31,3472.2
GRP31899,2021-12-01,191118.72,2003.54,6872.33,186249.93000000002,5385.62,478.49,36,8972.22,16808.97,4051.54
GRP12370,2018-07-14,13688.6,4362.41,905.99,17145.02,7058.76,32.4,71,6158.3,7310.82,895.04
GRP68438,2019-11-27,275817.53,4303.26,4134.12,275986.67000000004,5676.51,1.01,6,5279.61,11187.44,-3647.08
GRP44357,2024-05-13,101335.9,3012.41,7101.71,97246.59999999999,9646.03,1972.56,31,9482.61,25341.16,-980.47
GRP87954,2020-01-28,447777.76,1691.77,6381.76,443087.77,5456.98,402.77,66,5607.58,9712.01,-3345.81
GRP93099,2021-03-21,35768.04,1772.15,9787.18,27753.010000000002,5546.97,1128.84,15,7697.84,18244.78,4059.77
GRP86919,2018-02-02,195733.43,4556.87,7946.54,192343.75999999998,8707.21,1465.2,62,3096.87,5796.9,-3620.64
GRP54632,2025-05-01,261444.44,1328.57,925.05,261847.96000000002,7708.8,1231.06,72,1236.12,17261.42,3539.45
GRP29419,2019-01-25,169767.58,535.64,1198.84,169104.38,3112.28,207.14,55,1701.59,14778.87,291.18
GRP57218,2019-05-27,245552.69,2013.58,7658.05,239908.22,1824.5,1321.62,88,5590.14,5515.79,-1976.93
GRP66464,2021-03-21,10601.77,3194.16,6538.97,7256.96,5553.43,1974.18,25,4447.08,25846.61,-4836.95
GRP99712,2020-01-29,224931.55,4639.63,4723.71,224847.47,9995.17,1076.97,58,8666.19,17693.43,-4804.51
GRP22061,2025-09-09,52576.74,1530.42,9919.56,44187.6,5821.2,669.35,11,1594.3,20906.4,-3898.79
GRP77496,2024-05-21,391607.29,2794.21,8919.78,385481.72,5376.29,1753.69,24,4882.49,6969.06,4832.5
GRP29257,2024-03-07,68356.98,4534.25,9045.42,63845.81,9543.44,1420.08,96,5234.61,17389.86,-3022.09
GRP41018,2021-07-16,441399.99,1505.32,5268.36,437636.95,5550.23,1899.44,72,6655.5,11210.83,4506.27
GRP85535,2022-02-14,248785.14,4718.87,5787.11,247716.90000000002,4376.61,441.49,7,2559.25,11185.85,-1661.67
GRP43495,2019-07-26,20817.47,4157.26,8503.83,16470.9,8186.91,363.02,18,6315.79,18218.07,1683.42
GRP37390,2022-04-23,442193.79,893.19,1327.72,441759.26,8894.85,256.71,18,9255.18,26276.95,361.42
GRP57110,2020-01-30,149102.39,953.17,5202.19,144853.37000000002,8773.72,1645.24,99,5594.01,29442.76,1851.63
GRP26373,2018-03-05,15485.58,950.6,8980.81,7455.370000000001,1755.71,57.2,3,2971.15,29235.32,-2058.23
GRP90044,2023-09-08,197323.15,1180.74,8108.99,190394.9,9621.57,496.44,33,1890.8,5281.45,1084.14
GRP69821,2022-07-07,43692.57,2482.62,8442.66,37732.53,8834.99,755.96,90,5797.84,27742.43,4749.74
GRP64913,2019-07-04,407052.78,1949.83,4222.05,404780.56000000006,2930.45,1067.0,85,6494.5,23497.3,1373.63
GRP68005,2023-06-18,341060.6,4311.04,9059.49,336312.14999999997,9160.87,373.46,100,3685.9,8265.29,-460.17
GRP24845,2022-09-01,350292.73,4073.28,6833.88,347532.13,4436.96,569.47,96,6943.29,7793.51,1707.26
GRP27358,2021-08-22,485599.23,2328.39,8180.59,479747.02999999997,6397.15,4.13,64,4011.36,16876.75,4996.65
GRP66960,2021-08-03,378961.53,1636.47,8662.31,371935.69,9092.62,1949.6,14,7069.6,15534.51,1999.77
GRP25102,2025-07-06,322651.95,4115.23,6097.91,320669.27,5797.2,1711.97,67,3365.35,10373.72,-92.18
GRP90767,2018-10-12,89891.98,2998.34,2000.81,90889.51,4552.9,329.05,85,4397.24,5182.17,-4359.83
GRP75020,2020-08-12,25460.1,878.14,609.81,25728.429999999997,5661.0,1658.85,80,1999.52,20824.77,2264.18
GRP33830,2025-10-30,278876.26,4504.66,4181.53,279199.38999999996,6697.33,1985.46,74,1883.17,5608.47,-441.09
GRP01819,2024-03-05,28717.23,4562.05,752.01,32527.27,3337.5,1443.9,60,9648.32,11016.13,1395.16
GRP15609,2020-05-04,251367.11,598.33,7701.66,244263.77999999997,3086.55,676.62,3,3230.42,27833.33,2758.39
GRP33282,2022-06-05,161759.43,1869.22,3258.47,160370.18,4072.56,1086.85,65,2047.88,9849.35,198.32
GRP90954,2024-08-25,206230.95,3297.1,6487.22,203040.83000000002,9475.28,1548.52,89,8890.47,19060.57,-4618.7
GRP21745,2018-09-06,29498.13,1188.08,6560.0,24126.21,6689.59,1301.61,32,9059.5,15422.61,-1790.33
GRP46999,2021-10-15,281989.37,2102.17,2852.76,281238.77999999997,1205.51,550.0,15,7098.52,8214.99,975.77
GRP08215,2022-01-06,480093.33,3247.36,2636.0,480704.69,8695.88,1212.52,36,8477.82,8304.66,-583.05
GRP77397,2019-01-11,154872.49,170.9,9660.77,145382.62,9249.15,1647.43,21,4193.98,23728.72,-4969.06
GRP46929,2019-12-18,422863.25,4080.55,8063.13,418880.67,3397.33,1104.45,47,1906.69,18298.91,75.39
GRP48475,2021-09-30,90343.44,4967.62,7606.49,87704.56999999999,1418.81,1735.33,58,8448.71,23451.1,2901.39
GRP40096,2025-12-09,339581.15,978.98,7169.54,333390.59,7724.13,607.02,61,9212.85,20513.33,-90.24
GRP94576,2021-08-04,204704.36,1001.61,986.2,204719.76999999996,9168.54,1170.74,95,6743.2,7662.38,2914.13
GRP44226,2022-10-24,341669.4,1618.61,3013.83,340274.18,9850.38,190.5,83,2345.13,17178.96,841.91
GRP14712,2020-02-16,469110.36,3383.25,4394.45,468099.16,6245.14,360.37,11,5993.15,29996.02,2962.16
GRP88304,2020-05-27,29127.05,4830.88,9680.94,24276.989999999998,6430.02,1190.83,13,7062.17,15148.58,-4448.93
GRP70749,2025-01-12,497940.6,2207.1,7219.04,492928.66,5859.02,157.59,4,2817.29,11878.45,-134.26
GRP51640,2021-09-10,302957.03,4394.22,9564.69,297786.56,9170.38,1646.77,99,2686.57,23973.54,2948.61
GRP39931,2022-08-17,165295.8,3735.02,9165.11,159865.70999999996,4226.35,183.01,36,6982.38,21786.52,888.04
GRP63758,2024-06-24,31700.87,1405.18,7329.36,25776.689999999995,4572.06,796.92,47,9454.65,10111.67,3258.44
GRP31060,2019-08-21,476157.76,1823.0,2328.25,475652.51,6019.5,1751.63,91,9587.92,10069.34,-4122.11
GRP21038,2019-03-30,251837.18,1152.18,532.17,252457.18999999997,3419.81,684.33,92,2998.4,16456.05,-2682.53
GRP82454,2018-03-07,77815.52,4433.05,5010.05,77238.52,2601.29,1390.7,86,4710.75,21610.58,4841.52
GRP60682,2021-07-18,252719.06,3972.95,4596.33,252095.68000000002,5100.14,631.65,94,8560.23,5005.9,359.16
GRP32343,2019-03-03,199366.35,1783.42,6280.56,194869.21000000002,3531.01,1941.81,13,8267.68,21579.76,-1544.77
GRP27468,2021-12-07,323515.43,2269.02,1203.07,324581.38,7067.85,320.62,51,6787.33,22162.66,2765.21
GRP32515,2021-01-13,219851.88,2974.51,4149.19,218677.2,5458.84,1159.07,49,3927.27,6137.11,4046.65
GRP39209,2018-10-16,81735.51,4018.03,2066.94,83686.59999999999,9967.31,669.21,18,3538.46,20098.65,-665.11
GRP87534,2024-01-01,116477.48,1727.28,2642.72,115562.04,2615.42,836.37,9,6464.4,26531.14,2170.06
GRP59117,2022-12-16,473088.81,1377.69,4528.07,469938.43,7162.55,1205.69,69,1001.51,7177.27,-2022.03
GRP56636,2018-10-14,199598.2,1492.97,7064.38,194026.79,6471.23,43.53,48,2965.69,26963.54,4074.59
GRP52948,2018-09-09,145031.23,2310.36,8472.89,138868.7,5477.93,1645.7,30,9770.29,24355.43,180.19
GRP04755,2023-01-28,204369.19,3370.12,3504.18,204235.13,1569.05,574.55,1,8933.1,17273.33,-2208.25
GRP60887,2025-02-06,121159.3,3872.28,3185.88,121845.7,7892.74,1387.86,11,6282.61,20893.4,-2147.69
GRP26552,2023-11-29,218369.48,4276.84,5708.86,216937.46000000002,6373.23,1465.68,63,5887.67,28904.6,-2527.39
