scenario_id,description,premium_growth_rate,claim_frequency_shift,catastrophe_factor,discount_curve_override,lapse_rate,run_date
SCEN_c457cd,Organization research film.,0.01,0.16,1.04,CURVE_1,0.04,2019-05-21
SCEN_e8afab,During produce nothing management develop.,0.14,0.07,1.3,CURVE_3,0.06,2018-02-25
SCEN_2bb934,Small single second key.,0.13,0.08,2.21,CURVE_2,0.01,2022-06-14
SCEN_bbc600,Life wind attention.,0.07,-0.03,2.34,CURVE_4,0.04,2025-06-14
SCEN_bedf2a,Still account get subject investment cost.,0.13,0.14,2.33,CURVE_5,0.04,2025-06-09
SCEN_d65568,Someone off real product collection.,0.11,-0.05,1.0,CURVE_1,0.1,2025-12-11
SCEN_93fb4f,Think into table.,0.03,0.12,1.81,CURVE_2,0.04,2024-02-17
SCEN_b3ccf8,Share game son.,0.04,0.02,2.24,CURVE_5,0.06,2023-06-26
SCEN_fee4a6,Party soldier language style most.,0.1,0.01,1.56,CURVE_2,0.08,2021-08-31
SCEN_aeea4f,Strategy step tough already.,0.06,0.15,2.24,CURVE_3,0.02,2023-10-12
SCEN_36e0b6,Structure serious improve successful through crime.,0.04,-0.03,2.33,CURVE_1,0.07,2022-07-03
SCEN_00a299,Majority teach someone.,0.06,0.2,1.26,CURVE_3,0.1,2022-01-04
SCEN_83644d,Important audience be wife agree see.,0.02,0.06,1.42,CURVE_5,0.04,2023-05-29
SCEN_3f2764,Interesting just child stage.,0.1,0.08,2.48,CURVE_4,0.08,2023-04-03
SCEN_230f87,Ever go realize.,0.11,-0.02,2.32,CURVE_3,0.09,2024-05-20
SCEN_12c95f,Good analysis age election like final.,0.06,-0.04,1.87,CURVE_5,0.05,2022-05-15
SCEN_7c1c1e,Civil likely provide whatever along.,0.04,0.16,2.14,CURVE_3,0.05,2025-07-07
SCEN_8c832c,Identify out less something rate former.,0.09,0.08,1.47,CURVE_5,0.08,2018-02-10
SCEN_f10f6c,Hit thus country history.,0.1,0.07,2.39,CURVE_1,0.06,2022-04-01
SCEN_708239,Many movie cover might source she.,0.03,0.11,1.04,CURVE_1,0.03,2025-01-05
SCEN_6370f5,Body why rule social face already.,0.02,0.16,1.2,CURVE_5,0.06,2018-02-10
SCEN_76701d,Quite child answer military produce.,0.02,0.17,1.1,CURVE_2,0.03,2024-08-03
SCEN_eccf7a,True after story shoulder pattern.,0.03,0.05,1.2,CURVE_2,0.04,2025-03-08
SCEN_db967a,Firm owner modern life treat letter.,0.04,-0.01,1.73,CURVE_3,0.07,2023-03-30
SCEN_87bac0,Doctor resource government.,0.13,0.13,2.11,CURVE_5,0.04,2024-03-25
SCEN_e15300,Nature recent others.,0.06,0.1,2.27,CURVE_4,0.05,2022-02-09
SCEN_141b89,Season also billion.,0.06,-0.04,1.61,CURVE_3,0.03,2018-02-02
SCEN_1bb06b,Race network experience.,0.06,0.19,1.45,CURVE_4,0.02,2021-03-27
SCEN_5583a0,Must social soon how instead.,0.03,0.17,1.63,CURVE_5,0.04,2020-07-25
SCEN_6634b6,Easy leave win.,0.03,0.19,1.38,CURVE_4,0.02,2024-04-06
SCEN_4737f6,Great mention trial.,0.03,0.13,1.59,CURVE_5,0.06,2019-03-10
SCEN_ec4ec0,Especially in imagine do detail exactly.,0.13,0.2,1.05,CURVE_1,0.03,2024-03-01
SCEN_ce4c35,Ago cold better night drug.,0.12,-0.02,1.97,CURVE_2,0.05,2020-11-12
SCEN_4fb1c2,Generation magazine people part.,0.03,0.2,2.39,CURVE_1,0.05,2022-10-18
SCEN_cace8b,Son middle news list oil.,0.04,-0.04,1.66,CURVE_2,0.05,2021-03-21
SCEN_422b08,Everything best foot billion four artist.,0.11,0.14,1.19,CURVE_3,0.04,2022-08-07
SCEN_e80702,Discussion fast charge medical himself.,0.08,0.06,1.3,CURVE_5,0.01,2018-04-20
SCEN_d3e930,Would what situation rate son food.,0.01,0.08,1.35,CURVE_1,0.04,2022-10-15
SCEN_8be695,Break fear adult through bed.,0.05,-0.05,1.89,CURVE_2,0.02,2024-09-24
SCEN_dfddd5,Present structure vote field.,0.11,0.04,2.28,CURVE_1,0.02,2022-09-22
SCEN_31e20a,Despite however environmental successful end.,0.07,0.17,2.4,CURVE_1,0.06,2019-08-24
SCEN_46b6c4,Finally start firm later time view.,0.08,0.18,2.2,CURVE_1,0.05,2021-03-02
SCEN_701844,Kind sort name two charge nation.,0.01,0.02,1.26,CURVE_3,0.03,2020-09-06
SCEN_a3988c,Him television find woman your play.,0.09,0.07,1.3,CURVE_1,0.03,2019-02-15
SCEN_b3dd89,Energy thank star.,0.02,-0.03,1.82,CURVE_4,0.02,2023-06-20
SCEN_caf7e1,Treatment help others provide marriage.,0.02,0.18,2.41,CURVE_2,0.07,2021-05-02
SCEN_fd0440,Design east president.,0.02,0.04,1.87,CURVE_1,0.08,2023-11-03
SCEN_8e314e,Teach evening staff year.,0.05,0.17,1.3,CURVE_2,0.1,2021-04-16
SCEN_63fdd5,Respond time true play rich.,0.12,0.05,1.12,CURVE_1,0.02,2021-10-29
SCEN_26793a,Town expect network.,0.01,-0.04,1.04,CURVE_3,0.09,2018-02-20
SCEN_befb3c,Leader exactly work she.,0.07,0.09,1.41,CURVE_1,0.05,2022-03-05
SCEN_c177ae,Nation school difficult center nothing.,0.09,0.19,1.88,CURVE_5,0.06,2018-09-11
SCEN_94ce22,Crime career beyond point.,0.02,0.09,1.18,CURVE_2,0.09,2018-02-15
SCEN_15dba6,Go thousand according three us.,0.1,0.11,1.0,CURVE_2,0.09,2021-02-08
SCEN_266448,Reach investment discuss apply.,0.03,0.07,1.13,CURVE_2,0.05,2019-10-12
SCEN_b87cff,Night measure early want just say.,0.02,-0.03,2.25,CURVE_3,0.04,2018-11-02
SCEN_26f805,Occur between chair stay television kitchen.,0.09,-0.0,1.59,CURVE_4,0.08,2019-10-17
SCEN_6b3f03,As peace experience nice.,0.03,-0.02,1.62,CURVE_2,0.06,2021-04-10
SCEN_769540,Serve feel upon.,0.07,-0.01,1.83,CURVE_4,0.03,2018-06-09
SCEN_fef893,Yard budget believe.,0.11,0.03,1.82,CURVE_4,0.09,2019-06-05
SCEN_f17508,Line to school.,0.08,-0.01,1.97,CURVE_3,0.09,2021-03-24
SCEN_25f032,Edge business station.,0.05,0.11,1.39,CURVE_3,0.04,2023-02-10
SCEN_a24dcb,Different should relate fly.,0.07,-0.02,1.4,CURVE_5,0.03,2020-02-07
SCEN_c45ac6,Smile very remain another how discover.,0.14,0.11,1.22,CURVE_5,0.06,2019-04-22
SCEN_91f125,State he morning woman.,0.05,0.12,2.36,CURVE_1,0.05,2018-12-15
SCEN_d02b72,Community hold must safe image.,0.11,-0.03,2.33,CURVE_2,0.01,2021-12-15
SCEN_090784,Eat five act next some look.,0.12,-0.04,1.23,CURVE_5,0.07,2019-10-12
SCEN_12b2d4,Financial painting call per.,0.05,0.09,1.31,CURVE_5,0.01,2023-02-21
SCEN_7b4104,Show look air wall.,0.1,-0.02,2.11,CURVE_4,0.04,2021-07-22
SCEN_1f5768,Series present action bar democratic adult.,0.1,0.07,1.71,CURVE_4,0.04,2024-12-28
SCEN_807eb0,Wear my beyond girl woman.,0.1,0.03,1.59,CURVE_5,0.02,2019-02-01
SCEN_cfc160,Whether court during difference charge already.,0.01,0.06,2.18,CURVE_2,0.05,2023-01-18
SCEN_fd0dda,Word vote move state war speech.,0.14,0.07,0.93,CURVE_4,0.06,2018-11-20
